GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",9491.3,9934.2,10682.9,11801.3,12823.9,13545.6,13318.4,13182.9,12385.3,12606.8,12507.4,12653.1,12770.4,12769.7,12543.8,12908.3,13122.1
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",8139.3,8453.8,9071.4,10076.4,11015.1,11621.6,11287.4,11045.2,10172.2,10348.1,10249.8,10357.1,10410.0,10317.4,10075.0,10464.9,10689.4
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),113.8
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",47.3,57.3,57.9,59.4,76.9,114.8,117.3,107.5,106.2,100.9,122.8,108.8,93.7,92.0,97.7,89.1,(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.9
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.2,0.1,0.2,(L),0.0,0.0,0.1,0.3,(L),(L),(L),0.0,0.0,0.4,1.0,(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",284.4,230.7,234.0,207.4,224.2,238.4,246.7,224.5,149.3,395.7,394.4,427.0,402.0,403.3,360.6,361.2,407.9
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",(D),519.5,556.0,606.3,626.1,697.1,714.2,678.8,545.0,509.0,636.3,561.1,556.8,575.6,677.8,707.1,669.1
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",340.2,334.7,372.1,312.5,312.7,297.6,307.4,325.3,238.1,220.4,231.0,233.5,218.2,(D),(D),(D),233.3
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),187.8,203.6,189.4,202.8,187.7,171.1,166.7,128.0,110.5,115.0,103.4,107.1,92.9,(D),(D),60.0
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),36.1,40.7,40.5,35.5,29.8,13.1,8.1,9.8,8.1,6.6,5.0,5.4,11.7,(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",81.5,83.5,90.1,79.0,79.5,62.0,47.6,50.2,32.7,31.4,28.0,28.1,26.4,19.7,21.0,22.0,(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",0.0,0.0,0.0,0.0,0.0,(L),(L),0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(D),(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",10.0,10.6,9.5,8.5,8.1,9.8,8.0,7.7,13.4,7.1,6.7,6.8,6.7,6.0,6.9,6.4,(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",13.0,(D),(D),(D),(D),(D),(D),10.3,8.2,(D),(D),6.2,4.9,4.9,4.6,5.5,(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",23.2,(D),(D),(D),29.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",0.0,0.0,0.0,0.0,(L),(L),0.0,(L),(L),(L),(L),(L),(L),(L),(L),0.1,(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",1.1,(D),(D),(D),(D),(D),0.0,0.0,0.0,0.0,(L),0.0,(L),(L),(L),(L),(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",21.1,(D),(D),(D),(D),(D),(D),(D),(D),7.3,6.5,5.3,5.8,7.4,7.7,7.8,(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",4.6,5.1,3.6,3.8,3.5,2.3,1.5,1.0,0.6,(D),(D),(D),(D),(D),(D),(D),(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),6.2,(D),(D),(D),(D),6.3,7.4,7.4,7.6,6.4,6.1,5.9,3.6,3.7,4.8,(NA)
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),146.9,168.5,123.1,109.9,109.9,136.3,158.6,110.1,109.9,116.0,130.1,111.1,(D),150.9,153.1,173.3
 "12100" ,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),30.0,30.9,26.2,(D),(D),(D),(D),(D),(D),35.7,34.8,21.3,(NA)
