GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2218.8,2338.6,2461.7,2609.3,2760.2,2870.4,3133.5,3040.3,3135.3,3276.6,3022.5,3412.8,3218.6,3304.6,3050.7,3297.7,3545.0
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1595.0,1697.3,1760.6,1830.4,1949.7,2016.9,2235.0,2212.2,2274.7,2395.4,2143.0,2557.1,2344.9,2431.5,2084.2,2328.2,2514.8
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),2.2,1.7,3.5,4.5,(D),(D),(D),(D),(D),(D)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",0.5,0.9,0.5,0.5,0.5,0.6,0.3,1.4,1.7,3.5,4.5,4.9,6.1,5.3,4.2,3.5,(NA)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),0.9,0.0,0.0,0.0,(D),(D),(D),(D),(D),(NA)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),0.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),0.3,0.6,0.2,0.1,0.1,(L),0.0,0.0,0.0,0.0,0.0,(L),(NA)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),0.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),126.3,176.1,142.9,158.5,80.8,127.5
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",230.7,210.3,209.2,221.5,243.2,271.2,302.1,330.9,265.0,300.9,280.5,296.9,305.0,311.0,298.1,294.8,330.7
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",182.9,(D),176.2,188.0,211.7,(D),264.0,301.2,235.9,256.3,228.3,236.8,236.2,249.1,241.4,244.8,281.9
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),0.5,0.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",9.6,11.3,10.8,10.1,13.6,11.1,12.4,9.1,6.1,5.0,4.0,4.3,7.2,(D),(D),(D),(NA)
 "16180" ,"Carson City, NV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),17.1,17.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
