GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2272.8,2291.2,2351.9,2462.6,2637.7,2698.5,2783.9,2944.1,2945.9,3187.2,3283.5,3351.8,3357.0,3390.8,3411.4,3341.5,3388.2
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1837.9,1842.0,1893.1,1999.6,2124.1,2176.6,2253.4,2360.9,2355.6,2574.0,2670.2,2718.6,2708.6,2720.0,2764.1,2714.4,2748.5
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),4.4,(D),(D),3.5,3.7,3.2,0.7,2.9,5.1,4.0,5.3,4.7,1.7,1.1,1.1
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",5.1,2.2,3.5,4.6,3.9,2.6,2.9,2.5,0.0,2.3,4.5,3.3,4.9,4.3,1.2,0.4,(NA)
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),0.9,(D),(D),0.9,0.8,0.7,0.7,0.6,0.6,0.7,0.4,0.4,0.4,0.6,(NA)
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),1.9,(D),(D),15.0,14.4,11.8,11.6,20.4,18.6,17.7,10.6,14.6,19.3,21.0,7.6
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),17.1,16.3,(D),12.3,16.7,17.6,(NA)
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(L),(L),0.1,0.1,0.1,(L),0.0,0.1,0.0,(L),0.3,0.2,(L),(D),(D),(D),(NA)
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),1.8,(D),(D),(D),(D),(D),(D),(D),1.2,1.2,(D),(D),(D),(D),(NA)
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",111.3,93.4,97.6,97.7,113.2,122.0,129.5,133.5,132.8,141.5,148.1,142.6,142.2,141.2,133.3,149.2,147.1
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",441.9,423.1,424.8,487.6,486.6,512.2,540.2,599.8,556.3,622.2,641.3,605.5,601.3,600.9,639.5,622.8,650.1
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",396.7,377.0,380.6,444.7,440.3,473.2,510.0,572.5,522.2,594.6,600.0,561.8,554.2,545.2,576.0,552.8,560.0
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",1.2,(D),(D),(D),(D),(D),(D),(D),(D),1.3,(D),(D),2.9,(D),(D),(D),(NA)
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",60.2,63.7,64.6,82.6,84.9,79.6,74.4,74.3,75.6,78.1,64.8,60.2,62.8,78.8,84.7,91.6,(NA)
 "21300" ,"Elmira, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
