GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",21442.0,22271.8,22816.5,24179.3,25340.0,26399.1,27654.7,27677.5,28349.8,29379.4,29391.5,30346.1,30428.3,31209.8,32270.6,33057.7,33633.6
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",18482.9,19056.3,19416.9,20604.3,21601.1,22506.9,23579.9,23415.9,23873.2,24638.3,24594.9,25443.3,25297.8,26094.8,27119.5,27814.5,28299.1
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),125.0,(D),111.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",118.8,85.9,90.1,114.6,111.5,97.1,142.8,150.3,95.1,138.0,171.7,131.9,156.6,162.8,100.8,73.6,(NA)
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),10.4,(D),14.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),11.9,(D),23.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(L),(L),(L),0.1,(D),(D),(D),0.3,0.7,0.5,0.3,0.9,0.6,(L),(NA)
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",1867.4,(D),(D),(D),(D),(D),1736.2,1735.8,1753.8,2032.4,1955.0,1874.9,1835.2,1975.5,1851.0,1801.1,2111.2
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",865.0,891.0,945.4,975.8,1050.1,1130.2,1199.0,1188.8,1169.5,1174.9,1175.0,1277.6,1283.5,1260.0,1276.0,1381.4,1295.6
 "45060" ,"Syracuse, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",3481.2,3687.2,3556.6,3464.1,3630.8,3945.3,4077.5,3749.4,3521.1,3399.9,3216.5,3371.6,3271.7,3472.3,3645.3,3715.5,3825.5
