GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",22043.0,23025.9,24416.4,26114.3,27355.4,29356.4,30868.0,31738.1,32184.3,31953.6,32673.6,33369.9,34761.7,36816.2,39312.3,40448.6,40884.4
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",17496.3,18321.6,19461.8,20904.5,21714.4,23316.3,24549.8,25033.1,25393.8,25184.0,25842.7,26382.3,27595.3,29399.4,31443.2,32434.5,32662.5
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),334.3,273.6,265.4,271.0,263.3
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",107.5,85.0,130.9,182.6,132.8,142.2,108.7,105.8,131.4,173.0,107.8,161.0,240.5,175.2,157.9,164.5,(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),93.8,98.4,107.6,106.6,(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),82.8,90.6,135.7,144.5,160.0
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(D),(D),(L),(D),(D),(D),(D),(D),(L),0.1,0.1,0.1,(D),(D),(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),79.8,85.8,123.5,142.8,(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),0.1,(D),(D),(D),(D),(D),(D),2.8,4.8,(D),(D),(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1421.6,(D),(D),(D),1698.2
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",1160.7,1138.1,1263.2,1371.8,1448.5,1620.1,1713.4,1606.7,1458.5,1302.1,1295.0,1303.2,1422.7,1471.3,1569.3,1740.9,1952.4
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",2789.1,3035.5,3000.3,2894.5,2861.0,3039.4,3287.7,3241.3,3386.0,3598.4,3653.8,3838.1,3816.8,4482.2,5302.1,5292.1,4909.0
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1710.0,2061.9,2422.0,2554.6,2106.8
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),58.6,61.1,55.5,63.0,(NA)
