GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",24402.2,25261.2,26195.9,25670.7,26846.4,27789.3,29911.4,30439.5,29650.0,30973.2,32652.8,33366.8,34669.1,36520.5,39122.4,40512.6,42108.9
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",21729.0,22429.0,23159.3,22459.2,23425.8,24196.2,26130.8,26432.8,25598.5,27096.4,28687.8,29253.0,30400.5,32065.7,34378.1,35666.9,37115.7
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),58.0,59.6,60.8,33.2,33.6
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",36.5,35.7,22.7,45.2,43.5,17.7,9.7,8.7,21.1,31.4,7.8,23.0,40.4,40.6,40.5,11.4,(NA)
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.6,19.0,20.3,21.8,(NA)
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.1,23.2,46.2,52.0,50.8
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),0.0,0.0,(L),(L),(L),(L),(D),(D),(D),0.0,(L),0.1,(NA)
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13.3,22.8,(D),(D),(NA)
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.4,(D),(D),(NA)
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),278.6,285.9
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",1401.1,1298.7,1427.9,1462.2,1600.7,1707.8,1885.0,1692.6,1415.7,1256.8,1221.0,1313.1,1386.1,1793.5,1988.5,2222.5,2253.0
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",6632.7,6930.4,7180.9,5412.0,5344.8,5345.0,5824.3,5642.1,5825.4,6114.9,6674.2,6708.5,6960.4,7293.0,8123.7,8730.4,9002.1
 "24860" ,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),3937.9,4271.2,(D),3257.0,3140.6,3341.1,(D),(D),3235.9,3635.1,3904.1,4203.2,4484.9,4830.4,5375.9,5559.9
