GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",6482.4,5842.2,6130.1,6630.4,7124.3,7802.1,7956.5,7859.3,7541.0,7630.7,7407.7,7557.2,7782.8,8269.2,8645.1,8856.5,9175.5
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",5400.4,4758.9,4976.7,5349.9,5761.6,6369.3,6349.7,6190.5,5850.5,5928.0,5665.5,5766.4,6011.7,6517.6,6776.4,6933.6,7220.8
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),56.2,50.6,31.1,28.0,30.2,35.5,39.6,42.8
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",12.4,18.4,32.9,44.6,32.5,47.8,24.1,36.2,31.6,44.3,37.6,16.9,16.8,17.7,20.3,24.5,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),11.9,13.0,14.3,11.2,12.5,15.2,15.1,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,0.0,0.0,0.0,(L),0.0,0.0,0.0
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,(D),(D),(D),(D),(L),0.0,0.0,0.0,0.0,0.0,(L),0.0,0.0,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,0.0,0.0,0.0,(L),0.0,0.0,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),0.0,0.0,(D),(D),(L),(L),0.0,0.0,0.0,0.0,0.0,(L),0.0,0.0,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",61.5,62.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",402.2,389.7,492.8,615.8,692.8,725.7,687.2,524.3,408.0,311.7,279.8,277.3,388.1,476.2,525.0,535.8,586.3
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",88.0,97.9,103.6,113.6,124.0,142.4,147.1,112.6,96.2,94.9,103.7,106.9,98.0,104.2,123.4,123.6,150.3
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",51.8,61.7,59.3,(D),84.0,97.9,102.4,(D),58.6,55.8,65.9,70.6,61.6,61.4,67.8,57.5,73.5
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),9.1,3.6,(D),2.3,(D),(D),(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),9.1,10.3,(D),15.1,25.0,27.2,18.7,13.8,13.1,13.5,(D),(D),(D),18.3,10.9,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",3.2,(D),(D),(D),(D),(D),21.4,22.2,19.2,19.7,20.1,(D),(D),15.1,14.4,(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),4.4,3.7,4.7,4.6,9.4,(D),13.6,17.2,18.4,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11.2,0.9,1.0,0.5,1.2,1.5,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.4,1.9,(D),9.3,5.6,0.4,0.5,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.8,3.9,5.0,(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),2.7,3.7,(D),(D),(D),5.5,6.4,(D),(D),(D),1.5,(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",36.2,36.2,44.3,(D),40.0,44.4,44.7,(D),37.6,39.1,37.8,36.2,36.4,42.8,55.6,66.1,76.7
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8.3,(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2.2,2.4,3.1,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),1.4,2.0,(D),(D),3.0,2.7,3.8,(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8.3,12.0,(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",4.1,4.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.8,5.5,6.2,6.2,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(D),0.1,0.4,0.8,1.0,1.8,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",(D),(D),(D),12.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),11.1,(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2.5,2.9,7.4,(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",83.5,84.5,106.9,125.7,174.1,(D),(D),154.8,(D),123.5,122.0,132.9,147.9,183.6,191.0,208.4,204.7
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",400.6,417.2,460.3,504.3,542.0,579.1,584.8,558.8,532.8,516.4,550.0,613.1,651.0,710.0,721.5,729.2,759.5
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",44.4,48.4,(D),(D),(D),90.3,(D),(D),63.4,(D),(D),(D),(D),(D),(D),(D),(D)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",2.7,2.2,2.1,2.7,2.4,2.7,2.9,3.6,2.9,2.7,3.0,3.9,4.1,4.6,5.4,5.1,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",0.2,0.2,(D),0.6,(D),(D),1.8,2.1,2.2,(D),0.9,(D),1.0,(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",13.1,14.1,16.2,18.8,22.4,28.5,25.9,16.6,17.7,16.0,15.5,13.8,15.5,(D),21.8,21.1,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",42,"486","   Pipeline transportation",0.0,0.0,0.0,0.0,(L),0.0,(L),0.0,0.0,(L),(L),(L),(L),(L),(L),(L),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20.9,22.0,(D),(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",44,"493","   Warehousing and storage",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.6,(D),0.8,(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",45,"51","  Information",(D),(D),(D),(D),(D),156.6,(D),195.8,159.9,143.8,138.8,70.0,70.1,67.3,84.5,102.9,84.4
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",46,"511","   Publishing industries (except Internet)",10.9,13.6,17.5,(D),22.1,(D),(D),26.5,22.8,22.2,21.5,13.1,13.7,13.1,17.1,19.5,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",47,"512","   Motion picture and sound recording industries",(D),(D),(D),8.1,7.2,11.4,11.2,12.2,9.5,12.8,12.9,14.7,16.8,13.5,17.5,14.5,(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",(D),(D),(D),(D),(D),(D),(D),151.8,124.2,103.6,99.9,38.2,(D),36.8,44.3,(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),(D),13.2,(D),(D),5.2,3.5,5.1,4.6,4.0,(D),4.0,5.6,(D),(NA)
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",2946.7,2204.1,2132.6,2165.9,2292.6,2654.6,2521.4,2524.5,2491.8,2654.4,2325.2,2352.6,2406.6,2570.9,2530.2,2520.1,2552.3
 "25940" ,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",51,"52","   Finance and insurance",(D),148.5,181.4,178.5,202.5,209.9,208.2,203.0,202.6,184.1,158.3,158.4,191.3,219.4,235.2,234.2,247.6
