GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",15756.9,16128.2,16748.9,17613.8,18453.4,19668.0,20617.6,21112.3,20379.1,21129.9,21743.8,22882.9,23143.5,23582.0,24965.4,25949.1,27071.0
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",13660.1,13697.2,14269.3,15086.3,15863.6,16982.1,17892.0,18351.4,17589.3,18177.1,18594.3,19596.9,19824.5,19995.8,21278.5,22174.2,23198.1
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",39.5,25.3,26.2,41.1,40.1,19.2,37.7,43.3,37.2,34.1,18.9,63.4,73.1,83.9,78.7,69.4,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),29.1,35.9,30.4,37.5,32.7
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.3,0.4,0.2,0.3,1.6,1.1,(D),1.0,0.4,0.4,0.8,1.4,1.9,1.6,0.8,0.6,(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16860" ,"Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),116.3,123.7,(D),(D),(D)
