GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2742.7,2789.8,2943.6,3160.3,3124.9,3288.4,3238.4,3221.0,3057.1,3314.6,3369.1,3643.0,3714.5,3874.0,4131.1,4260.5,4412.8
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2485.9,2518.4,2669.7,2872.4,2803.1,2953.6,2911.5,2856.9,2679.7,2945.9,2985.1,3234.2,3300.9,3451.7,3695.0,3812.9,3951.1
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",15.1,17.8,19.1,18.7,16.2,15.9,8.3,9.7,10.5,26.1,12.2,11.5,12.6,24.2,28.5,5.4,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),0.1,(L),0.1,0.2,0.1,0.2,0.4,0.8,0.6,0.2,(L),(L),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),0.0,(L),0.0,(L),(L),(L),(L),0.1,0.5,0.5,0.3,0.1,(L),0.1,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),54.3,52.8,(D),(D),(D)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",(D),117.8,106.5,108.1,112.1,126.7,(D),(D),111.3,(D),(D),(D),(D),(D),(D),(D),(D)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",940.5,943.7,921.0,1003.1,1053.2,1075.4,1037.2,948.7,881.1,1074.2,1074.5,1207.8,1242.6,1341.8,1463.5,1526.5,1566.3
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",590.0,592.3,596.2,654.3,706.2,685.8,600.2,512.0,386.2,528.8,570.8,631.7,633.3,724.0,811.9,867.1,903.8
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",28.3,33.7,36.1,44.7,44.6,41.3,38.5,39.5,28.5,31.6,35.1,39.4,40.7,46.2,48.6,(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),15.0,17.1,(D),15.5,21.3,22.7,24.2,28.7,29.8,(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",68.3,66.2,71.6,88.9,84.5,81.3,78.1,76.4,82.2,90.0,(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),55.8,(D),(D),(D),(D),(D),(D),27.0,24.1,27.9,25.9,32.5,31.0,36.6,46.5,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,(L),0.0,0.0,0.0,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),436.3,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26.0,37.1,41.6,45.9,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",208.3,206.5,192.7,164.6,143.4,125.0,104.7,71.7,58.6,45.7,26.8,21.0,26.6,27.5,34.3,33.2,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",45.4,35.5,29.6,39.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",350.4,351.4,324.8,348.9,347.0,389.5,437.0,436.7,494.9,545.3,503.7,576.1,609.3,617.8,651.6,659.4,662.5
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",96.5,(D),112.9,128.4,143.0,186.4,239.8,218.9,257.1,306.8,273.0,(D),(D),340.6,364.8,(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",1.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8.1,12.4,(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",13.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.0,(D),8.3,8.8,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",(D),(D),32.8,34.5,33.9,26.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),0.1,0.2,0.4,2.8,0.6,0.4,1.5,10.4,11.2,15.9,14.7,12.8,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",84.3,77.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),40.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",241.7,259.2,297.9,322.4,321.2,293.9,284.6,285.1,274.3,281.2,280.7,301.9,293.3,299.2,328.5,353.0,358.9
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",(D),(D),(D),(D),(D),(D),(D),(D),(D),182.0,188.4,(D),(D),(D),(D),(D),(D)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",0.0,0.0,(D),0.0,(L),0.0,0.8,0.0,0.0,0.2,0.2,0.3,1.3,0.7,0.5,0.1,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",7.3,7.5,8.2,8.6,10.5,12.0,12.3,12.9,12.4,13.3,15.9,16.6,20.2,20.4,21.1,20.5,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",(L),(L),0.0,(L),0.0,0.0,(L),(L),0.0,(L),0.0,0.0,(L),(L),0.0,0.0,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",106.6,107.0,116.7,119.6,120.4,122.3,131.4,135.8,137.5,147.2,150.9,151.6,156.5,168.9,179.8,183.0,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",42,"486","   Pipeline transportation",(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0.1,0.2,0.2,0.3,0.4,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.9,18.0,17.5,(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",44,"493","   Warehousing and storage",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",45,"51","  Information",(D),(D),145.0,153.8,60.6,(D),54.8,64.1,63.2,62.2,54.9,29.0,29.9,45.1,59.1,62.6,59.0
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",46,"511","   Publishing industries (except Internet)",(D),(D),(D),(D),(D),23.4,19.0,(D),(D),29.9,(D),(D),(D),(D),(D),28.4,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",47,"512","   Motion picture and sound recording industries",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),27.9,(D),(D),30.2,(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",244.2,256.3,287.2,270.2,242.8,338.9,211.9,210.5,243.4,218.7,236.3,268.4,280.6,293.4,330.1,291.2,294.9
 "34100" ,"Morristown, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",51,"52","   Finance and insurance",95.8,103.9,126.2,127.5,82.5,86.2,77.1,75.2,69.4,65.9,69.8,69.5,73.9,80.3,70.7,70.1,71.8
