GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",58078.7,61057.9,64293.6,69177.1,72360.5,77091.9,78182.7,81227.0,80107.2,82636.8,87683.8,96274.5,101187.8,107931.7,118024.4,126147.5,133251.0
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",52823.5,55201.4,58332.7,62818.0,65392.6,69762.6,70896.9,73157.6,71723.0,74366.9,79165.2,87390.2,92140.5,98642.7,108272.1,116097.2,122919.3
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),226.2,235.3,270.0,256.2,256.7
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",53.6,40.2,27.9,78.3,48.7,49.9,156.3,153.2,89.2,82.6,122.7,168.6,183.0,191.2,222.3,203.0,(NA)
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),43.2,44.1,47.7,53.2,(NA)
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),272.1,312.1,287.0,277.1,276.8
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),252.3,292.1,270.7,260.4,(NA)
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),530.9,519.9,524.8,562.8,596.3
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3599.9,4058.5,4794.6,5243.3,5700.8
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",9052.5,9671.4,10582.6,11884.0,11335.3,(D),(D),(D),8731.3,8575.6,8830.2,10144.7,11124.2,11765.2,12653.5,13427.3,14171.9
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8393.4,9087.8,(D),10075.5
 "34980" ,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),127.0,133.6,(D),(NA)
