GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3388.5,3528.1,3693.0,3989.6,4207.8,4424.6,4604.5,4756.6,4882.0,5068.5,5151.9,5131.9,4876.6,4936.5,5167.5,5294.8,5402.1
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2788.3,2891.0,3018.2,3246.4,3358.3,3556.0,3658.9,3726.1,3813.1,3961.3,4026.3,4023.5,3889.8,3966.9,4119.7,4234.3,4321.1
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",54.8,51.7,59.9,90.7,51.6,41.9,62.4,30.2,21.3,24.1,29.6,46.4,58.2,79.1,80.2,42.2,(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.2,(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.3,3.9,2.5,(D),(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),71.1,(D),(D),(D),(D),(D)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",143.9,148.1,149.1,163.0,174.3,180.5,180.1,232.3,282.3,225.7,217.4,222.4,196.0,187.3,205.3,210.2,228.7
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",652.6,693.2,713.6,820.0,810.5,839.6,857.1,780.7,767.1,833.2,827.3,809.8,807.6,823.9,876.2,940.8,913.1
