GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",261365.6,269330.8,273672.5,287848.0,310849.2,335925.7,352676.1,370166.8,347522.9,368480.4,392005.3,417064.9,448178.1,475929.3,491878.7,503666.7,535499.4
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",242351.5,248837.4,252001.3,265116.3,286680.0,310623.3,325607.7,341811.3,317657.6,337272.5,360683.4,384608.1,414607.6,441093.4,454885.9,465067.2,495799.8
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),439.3,(D),(D)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",91.0,100.2,174.6,225.0,167.6,208.3,213.6,135.3,144.6,119.2,126.0,237.2,279.5,219.4,345.9,180.6,(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),93.5,(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),46155.7,27216.8,(D),(D)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),42314.1,24236.1,17138.2,(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",(D),11901.0,12593.0,13799.0,15307.8,16718.7,17499.2,(D),15259.8,14326.9,(D),16178.5,18115.2,20836.3,23063.4,25077.4,26906.7
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",34657.9,36346.4,35054.7,39733.1,42718.5,46780.1,48799.9,46098.4,44824.4,(D),50449.3,54839.8,62866.9,60798.3,62116.0,60325.1,62479.1
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),36969.1,38596.9,39883.9,41004.2,43224.3
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),355.0,(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1899.7,(D),(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),871.8,(D),875.4,(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",2525.4,2367.2,2167.6,1943.1,2334.5,2620.6,2868.1,2827.4,2360.7,2310.0,2606.9,2858.8,2838.8,3036.2,2765.6,2680.4,(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),2639.2,2987.7,2565.2,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12331.7,12516.5,14177.7,(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),693.2,(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19100" ,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),632.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),711.4,(D),(NA)
