GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",41420.8,42175.3,43477.7,46421.8,50792.3,56643.8,62203.9,61937.6,60564.3,63172.9,67150.3,70113.7,71636.4,75213.6,80643.8,84110.5,87801.5
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",36282.3,36842.4,37910.6,40536.5,44450.3,49871.1,55082.2,54366.5,52836.9,55239.9,58873.9,61788.6,63202.1,66396.6,71463.2,74500.2,77858.6
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),45.0,(D)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",15.7,7.2,8.8,10.1,9.6,19.8,13.0,17.6,22.0,23.5,24.3,20.9,21.5,21.9,45.3,30.9,(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.0,(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",341.8,270.5,310.8,370.0,530.6,(D),(D),(D),137.3,812.8,1522.7,1385.7,1034.9,802.6,707.0,540.8,525.4
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",35.3,21.3,94.9,132.6,260.4,280.1,135.0,298.1,90.6,391.3,253.6,398.8,405.4,(D),(D),139.6,(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1047.2,694.4,342.4,(D),(D),(D),(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),145.9,235.1,207.9,(D),(D),221.9,292.6,287.1,214.1,184.8,(D),(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),617.7,(D),641.0,682.8,666.6,694.8
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",2320.4,2107.0,2189.0,2327.5,2746.3,3354.8,3822.8,3504.5,3072.7,2894.3,3033.7,3211.8,3414.1,3838.7,4247.5,4687.2,4974.4
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",3612.3,3809.0,4235.2,4385.6,4837.1,5674.0,6431.7,6363.7,7684.2,8522.3,8927.2,7875.9,7807.2,7556.3,8060.1,7881.9,8281.2
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",2297.0,2571.2,2842.5,2823.5,3226.2,3740.3,4404.1,4328.9,5086.0,5564.5,5679.5,5107.9,4762.7,4564.8,5066.9,4993.6,5348.7
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",42.6,32.0,83.8,43.5,55.0,83.1,111.1,90.9,(D),31.7,30.8,38.9,44.6,47.2,(D),(D),(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",102.2,118.9,131.6,171.1,181.4,211.2,232.4,187.2,154.8,155.7,142.8,174.1,177.5,183.1,187.8,190.4,(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",235.9,220.9,237.8,(D),303.6,332.0,364.3,376.7,382.9,342.7,339.3,399.4,375.2,422.5,463.8,466.5,(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),201.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),798.3,639.8,621.2,634.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",48.8,74.9,92.5,90.3,98.6,148.6,146.2,210.8,175.5,191.2,187.3,201.2,220.1,206.6,229.2,212.1,(NA)
 "41620" ,"Salt Lake City, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
