GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",6284.6,6762.5,7268.6,7632.9,7998.6,8149.2,9008.2,9614.7,10736.5,11978.3,12177.7,11492.5,11502.8,11714.3,12642.4,13352.5,13868.3
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",5382.3,5784.8,6221.9,6533.8,6832.5,6919.0,7701.1,8196.6,9196.8,10395.6,10537.8,9789.6,9746.3,9916.4,10808.4,11415.0,11843.0
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),576.3,(D),(D),(D),(D),(D),(D),(D),(D),1036.8,945.3,(D),(D),(D)
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",386.1,430.3,541.4,506.9,527.0,647.8,700.9,657.9,679.2,716.6,919.4,890.7,853.3,756.0,920.0,1016.4,(NA)
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),69.3,(D),(D),(D),(D),(D),(D),(D),(D),183.5,189.3,(D),(D),(NA)
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",2.1,2.6,2.8,3.2,(D),(D),(D),(D),(D),(D),(D),(D),1.4,2.1,(D),(D),(D)
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),(NA)
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",2.1,2.6,2.8,3.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,(L),0.0,(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "28420" ,"Kennewick-Richland, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",45.2,(D),(D),43.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
