GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",166674.3,171417.3,176485.1,182721.4,199157.1,215017.6,236507.3,242244.8,237726.3,242488.2,250147.4,267471.9,280291.0,296027.6,317153.1,334411.0,356572.0
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",149155.9,152826.2,156856.3,162159.3,177053.4,191254.8,211536.6,215200.3,209198.7,212906.6,220362.4,236341.9,248587.6,263670.1,284058.9,299874.1,320656.6
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",529.6,531.1,646.3,738.6,787.5,907.6,987.9,1018.3,843.5,655.2,582.1,566.5,565.4,641.3,758.0,676.4,592.3
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",164.8,141.4,199.8,183.3,172.9,169.7,154.4,117.4,116.9,123.2,155.6,133.6,144.9,165.1,208.7,161.6,(NA)
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",364.8,389.6,446.5,555.4,614.6,737.9,833.5,900.9,726.6,532.0,426.5,432.9,420.5,476.2,549.3,514.8,(NA)
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",97.5,79.6,92.6,84.5,149.7,228.6,249.4,190.7,359.3,505.6,609.8,536.7,362.8,394.5,342.0,340.7,335.3
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),0.0,0.0,0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(NA)
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),87.6,(D),(D),223.8,245.5,(D),(D),(D),(D),523.1,350.9,(D),327.0,327.7,(NA)
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),4.8,3.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42660" ,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",1671.7,1525.6,1676.8,1795.5,1677.5,1972.2,1592.9,1649.0,1386.0,1529.8,1642.4,1464.5,1518.0,1551.1,1560.5,1827.1,2004.1
