GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",95.658,90.893,96.675,100.078,101.834,108.264,109.876,108.164,100.000,100.493,102.318,103.110,96.297,97.463,95.954,97.336,96.448
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",103.650,94.033,103.079,107.580,108.557,115.713,119.077,115.922,100.000,102.842,101.975,103.684,96.799,99.359,95.593,97.510,97.793
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",80.410,99.211,156.504,109.874,186.023,193.280,131.688,28.110,100.000,95.453,57.534,84.784,43.760,84.610,88.735,161.277,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),64.900,71.831,(D),108.268,108.942,87.382,100.000,112.195,127.505,123.588,101.435,109.125,82.483,94.575,101.023
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),77.665,106.139,138.309,95.546,85.122,100.000,(D),124.445,(D),(D),(D),16.715,31.066,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",72.420,61.931,66.567,72.919,70.212,83.008,80.029,94.470,100.000,101.986,122.417,103.990,93.990,136.110,120.175,109.018,113.474
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",93.584,104.977,121.167,128.742,126.153,112.099,109.431,109.213,100.000,113.394,108.165,103.295,91.973,95.797,128.545,113.325,99.834
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",117.273,142.977,165.830,144.966,110.543,100.745,105.459,90.581,100.000,62.034,36.969,27.559,49.075,54.484,42.779,52.673,48.275
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),100.923,110.959,90.409,96.628,96.501,100.000,102.562,106.021,92.295,97.942,100.201,111.836,112.503,107.153
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",97.507,79.719,83.270,74.909,85.702,94.361,122.826,117.684,100.000,95.593,104.373,111.997,128.529,131.025,128.193,116.361,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",80.482,102.137,137.832,168.463,198.549,126.313,128.481,102.371,100.000,103.588,86.414,81.054,75.525,66.343,128.410,162.828,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",87.011,87.097,101.105,107.766,96.694,74.026,77.627,95.279,100.000,88.854,107.461,91.756,99.332,105.812,95.406,70.137,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",0.000,(D),0.000,0.000,0.000,(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",78.452,100.446,107.732,152.520,206.446,300.854,117.572,125.625,100.000,106.647,195.871,162.476,(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),148.878,110.303,101.372,105.973,90.078,100.000,58.497,32.083,23.256,45.019,50.509,37.310,48.217,43.802
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),40.356,206.101,159.205,252.304,259.773,106.204,123.288,100.000,109.240,(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",0.000,0.000,7.491,34.097,35.532,243.475,376.364,207.239,100.000,0.000,5.143,4.859,33.885,0.000,2.710,0.000,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",69.290,72.972,89.847,114.338,116.513,153.613,145.987,146.989,100.000,99.838,111.352,110.478,116.199,89.531,88.034,(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),113.050,102.399,106.209,89.439,100.000,56.203,29.794,20.792,42.497,48.396,34.036,45.327,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",32,"325","    Chemical manufacturing",0.000,0.000,283.075,1160.252,1512.176,667.209,503.986,127.930,100.000,5.593,(D),(D),(D),(D),0.000,0.000,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",34,"42","  Wholesale trade",66.417,65.589,81.442,87.602,94.373,98.426,101.449,104.807,100.000,107.792,110.113,113.369,126.005,127.609,122.803,(D),103.139
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",35,"44-45","  Retail trade",73.658,81.782,86.490,93.756,102.246,99.686,100.927,99.471,100.000,100.188,102.810,105.630,108.037,108.331,112.556,114.341,115.936
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",36,"48-49","  Transportation and warehousing",255.639,178.233,192.171,197.022,196.323,211.319,234.691,279.299,100.000,99.447,102.265,110.795,93.683,86.995,74.268,73.734,74.414
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",37,"481","   Air transportation",77.254,83.323,92.321,72.751,82.509,98.311,106.692,107.956,100.000,98.114,91.251,81.098,87.549,80.275,65.537,79.884,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",38,"482","   Rail transportation",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "21820" ,"Fairbanks, AK (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",39,"483","   Water transportation",19.504,8.723,5.583,4.532,5.312,16.489,31.516,56.737,100.000,161.172,238.099,589.064,(D),(D),(D),(D),(NA)
