GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",90.445,90.333,93.266,95.195,99.841,102.829,104.020,103.553,100.000,104.690,109.871,108.654,100.593,100.550,101.866,102.359,104.334
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",90.211,89.620,92.633,94.905,99.611,102.820,104.450,103.913,100.000,105.109,110.935,109.626,100.849,101.193,102.963,103.577,105.921
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",110.928,94.887,104.750,118.191,138.414,164.445,143.363,114.915,100.000,88.669,62.026,75.946,87.075,93.221,85.525,91.980,85.915
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",60.426,38.976,41.038,64.625,86.307,126.717,137.001,113.317,100.000,63.624,21.907,39.314,70.682,92.795,86.079,89.811,(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",176.647,165.189,184.625,184.152,201.779,212.207,153.692,116.847,100.000,116.479,111.752,117.604,95.482,77.370,69.834,77.819,(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",81.926,64.775,62.360,56.450,60.452,73.647,106.477,99.587,100.000,85.568,103.995,106.276,132.465,170.483,128.767,110.236,56.405
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",106.385,83.608,79.565,69.129,72.206,(D),(D),98.249,100.000,77.428,91.759,84.984,112.578,136.385,124.735,89.348,(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),122.957,100.710,99.938,105.966,108.969,100.000,125.087,128.546,117.993,111.840,110.874,99.011,107.371,109.476
