GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",91.387,90.435,95.597,94.438,97.784,100.958,105.688,106.683,100.000,100.574,99.468,102.772,99.615,98.224,96.345,96.600,99.429
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",91.116,89.889,96.028,94.447,97.895,101.413,107.297,107.154,100.000,99.921,98.155,101.475,97.862,96.806,94.824,95.484,98.896
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",72.418,(D),(D),(D),177.758,167.422,81.486,81.753,100.000,114.677,121.918,109.885,128.761,143.226,106.620,158.988,(D)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",66.309,116.958,142.971,157.194,199.315,203.303,88.538,88.368,100.000,113.237,129.051,115.151,143.457,163.069,120.062,190.571,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",85.578,(D),(D),(D),102.310,48.816,58.936,60.393,100.000,118.962,95.613,90.983,71.451,65.873,53.354,49.247,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",66.711,(D),(D),(D),86.685,108.373,104.337,98.102,100.000,131.458,154.290,157.705,140.798,134.727,97.761,59.388,64.931
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",20.410,22.731,19.514,9.191,15.606,14.646,11.465,22.847,100.000,236.940,620.457,1921.291,1719.486,842.889,431.184,178.567,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",66.399,(D),(D),(D),86.680,108.740,104.822,97.878,100.000,(D),150.066,151.890,135.679,132.179,96.656,59.101,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",121.049,80.176,111.725,105.767,107.900,88.283,69.898,156.527,100.000,(D),870.559,835.587,731.214,490.094,266.882,111.340,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",79.633,76.387,83.288,102.896,94.667,99.830,101.612,99.587,100.000,109.971,113.099,112.772,98.182,111.855,87.238,92.896,97.101
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",108.118,105.267,110.011,116.107,116.671,120.685,116.173,101.888,100.000,73.632,69.109,64.085,68.237,67.435,63.746,64.880,67.654
