GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",100.093,105.795,108.373,112.750,121.429,123.390,114.208,108.578,100.000,100.511,99.874,104.454,98.366,105.221,113.126,117.057,119.701
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",104.016,110.289,112.414,116.458,127.433,129.037,116.371,109.794,100.000,100.883,100.839,106.648,99.870,108.712,118.203,122.642,125.651
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),40.463,(D),(D),62.581,72.582,100.000,(D),92.462,96.598,85.465,85.546,100.853,118.372,106.282
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",21.541,29.652,34.391,33.350,61.644,87.757,50.989,63.005,100.000,124.714,96.852,104.676,89.724,90.282,108.247,129.681,(NA)
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),68.878,(D),(D),106.481,106.984,100.000,(D),78.895,66.400,71.979,70.005,75.990,81.510,(NA)
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),170.832,(D),(D),468.277,384.706,100.000,(D),268.319,(D),2.759,106.941,258.522,363.763,267.014
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,9.637,24.694,37.119,34.026,100.000,79.369,10.288,6.036,9.335,52.335,211.231,204.088,(NA)
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39460" ,"Punta Gorda, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",269.389,346.783,353.720,95.354,98.548,106.000,117.716,106.101,100.000,114.349,128.942,(D),104.408,98.630,94.741,89.885,67.269
