GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",51.686,56.607,68.724,70.978,83.769,94.031,98.702,95.149,100.000,108.324,112.585,116.813,117.996,123.883,126.636,135.911,141.090
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",44.796,50.787,65.436,68.082,84.029,95.373,99.670,94.502,100.000,110.167,115.695,120.226,122.154,129.936,132.135,144.146,150.940
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),107.047,(D),100.000,95.613,57.929,83.449,65.631,124.916,159.369,158.013,148.371
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",160.133,113.804,136.607,118.704,154.664,160.237,100.133,90.061,100.000,97.387,54.507,80.923,59.042,123.342,163.473,161.889,(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),149.801,(D),100.000,86.556,79.888,98.049,109.663,135.530,138.856,138.547,(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),122.028,(D),(D),(D),(D),104.128,(D),100.000,78.859,61.195,31.896,1.002,79.839,109.784,183.163,149.618
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,47.398,129.474,508.224,100.000,84.312,84.517,135.680,52.133,195.358,850.044,737.733,(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",24.919,27.466,45.200,52.242,84.833,90.648,81.229,71.910,100.000,84.140,91.935,83.638,93.714,86.975,78.885,78.830,89.294
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",72.078,74.569,121.607,101.191,104.061,171.455,149.320,129.689,100.000,89.303,124.780,143.988,145.586,141.085,128.809,142.269,157.310
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",77.684,83.014,115.557,117.183,132.026,186.601,178.711,143.460,100.000,89.441,102.577,112.163,139.735,144.142,151.095,205.621,229.197
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",40.046,31.933,(D),30.922,39.616,75.357,94.626,68.616,100.000,87.612,108.051,83.219,78.324,75.350,58.310,68.169,(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",15.569,19.375,143.404,147.175,191.730,285.427,299.038,225.254,100.000,104.495,167.056,240.740,336.067,358.998,375.437,373.137,(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D),(D),(D),(D),(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",85.281,127.285,94.697,0.000,0.000,0.000,0.000,0.000,100.000,64.122,37.493,0.000,0.000,0.000,(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",38.639,(D),39.300,0.000,0.000,0.000,341.443,0.000,100.000,293.768,(D),4072.122,7029.085,63.640,(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",57.371,49.819,29.517,36.102,61.459,445.339,(D),(D),100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),19.388,21.538,24.041,22.139,100.000,26.833,20.661,27.064,38.431,31.981,37.403,31.225,(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",64.379,63.050,129.039,78.527,63.878,152.545,107.591,111.216,100.000,89.125,153.639,184.887,154.974,139.424,102.968,65.935,70.604
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),100.000,84.355,79.510,76.206,84.038,82.439,87.810,24.800,(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),88.605,146.902,100.000,56.980,15.457,23.737,0.000,1.367,0.000,0.000,(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",0.000,(D),(D),(D),1.041,0.000,47.503,33.920,100.000,0.000,72.678,0.000,51.724,4.234,6.143,18.426,(NA)
 "45540" ,"The Villages, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
