GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",104.013,116.726,117.404,127.042,131.194,124.617,105.719,101.731,100.000,100.454,108.238,110.631,109.228,109.458,111.703,114.285,113.805
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",105.379,120.038,120.834,132.169,136.738,129.287,107.383,102.389,100.000,100.618,108.987,112.772,111.010,111.231,113.893,117.006,116.521
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",289.356,272.514,240.835,302.856,250.204,120.617,63.362,65.167,100.000,155.827,140.066,215.169,320.204,146.629,123.576,142.619,(D)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",305.319,281.288,252.711,346.384,314.289,124.771,49.298,57.447,100.000,164.814,135.866,230.725,344.312,91.312,48.038,60.536,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",280.303,274.987,235.586,236.645,137.459,114.511,91.867,79.944,100.000,140.006,151.751,179.385,264.612,273.924,286.862,323.114,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",113.468,93.264,112.938,118.589,70.925,78.253,111.930,65.608,100.000,120.047,121.759,44.567,52.396,66.912,121.123,124.502,(D)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,46.462,413.487,494.588,137.524,615.489,81.746,100.000,1118.004,0.000,4097.238,1119.906,672.340,1488.924,1743.677,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",113.798,93.536,113.264,(D),(D),(D),111.883,65.607,100.000,119.975,121.772,44.212,52.311,66.877,(D),(D),(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",0.000,0.000,0.000,(D),(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D),(D),(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",95.540,92.948,83.334,97.483,75.709,71.928,76.550,69.076,100.000,90.351,94.264,110.663,100.594,(D),(D),(D),(D)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",116.871,116.941,108.385,113.554,112.863,118.172,108.513,103.443,100.000,98.309,95.732,94.980,89.694,89.786,(D),98.204,(D)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",130.425,126.215,108.458,108.719,104.897,124.119,116.554,107.080,100.000,96.537,96.794,92.776,86.851,85.623,85.079,93.731,76.827
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",149.711,174.404,165.048,173.594,201.468,234.414,211.471,166.717,100.000,101.756,122.075,131.247,100.895,95.627,90.715,7.254,(NA)
