GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",110.394,112.768,110.928,114.581,115.611,113.238,112.544,105.978,100.000,106.760,110.388,110.069,117.719,112.568,113.065,116.615,117.721
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",108.140,111.702,110.773,115.470,116.376,114.027,114.033,106.607,100.000,108.112,112.966,112.885,122.300,116.665,117.072,120.819,122.137
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),255.367,250.659,381.854,242.316,24.963,100.000,390.756,536.317,151.784,737.235,230.635,230.468,371.677,299.001
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",53.431,10.321,0.000,296.883,288.252,451.361,272.378,0.000,100.000,536.171,753.360,180.278,1045.545,289.090,288.021,490.348,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),60.743,67.094,76.880,80.926,80.064,100.000,97.092,91.194,118.079,98.253,131.022,132.821,168.112,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",179.963,203.463,131.242,117.792,112.464,99.778,85.292,83.363,100.000,164.450,222.776,266.584,277.176,298.009,368.709,366.878,328.888
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",2869.553,3418.762,1793.057,164.331,271.597,12.216,0.000,223.400,100.000,284.463,650.840,140.066,63.057,232.450,32.683,108.006,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",201.404,181.928,172.541,173.610,160.331,135.592,124.941,110.374,100.000,90.182,96.879,117.750,108.194,110.782,116.241,120.137,121.868
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",102.321,111.652,118.080,117.175,125.992,132.075,133.702,124.791,100.000,121.769,131.921,137.917,153.752,153.576,148.394,147.522,150.078
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",111.960,122.833,126.711,127.629,141.822,141.713,146.517,134.616,100.000,132.776,147.255,160.317,183.390,181.549,170.376,166.748,170.378
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",155.256,121.501,133.621,112.243,112.597,83.388,118.195,72.517,100.000,119.983,140.362,150.390,115.290,84.194,(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",126.317,146.267,186.243,196.847,210.668,184.656,118.846,121.025,100.000,108.221,107.393,105.298,97.024,90.173,105.226,97.975,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",94.921,96.202,93.630,95.083,95.772,86.735,92.186,100.308,100.000,146.215,153.164,196.195,228.500,171.855,163.672,149.753,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",125.852,118.213,125.934,126.142,126.889,126.504,133.696,125.577,100.000,119.518,137.602,135.732,137.977,133.762,129.861,129.320,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",127.701,131.721,133.047,133.922,138.636,135.132,137.623,138.251,100.000,117.132,138.728,132.910,157.490,161.684,154.682,134.910,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",62.667,68.112,61.342,98.606,102.509,99.082,112.984,141.361,100.000,94.737,114.736,132.960,96.130,79.416,60.163,60.446,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",69.401,77.814,66.444,57.401,61.922,58.526,73.070,83.911,100.000,91.823,90.745,83.602,84.943,86.934,69.908,73.406,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",78.271,83.371,97.677,91.289,84.621,108.410,101.211,100.182,100.000,95.235,94.981,84.398,83.569,87.095,95.336,100.493,100.627
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",50.202,53.775,72.615,66.727,67.311,99.168,88.559,95.502,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",247.255,218.268,209.459,191.745,154.526,148.661,148.436,120.719,100.000,100.109,105.779,92.361,84.170,88.095,84.773,85.992,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",31,"324","    Petroleum and coal products manufacturing",3742.147,968.760,2580.843,1600.618,605.881,527.035,64.686,151.773,100.000,0.000,209.713,(D),(D),(D),(D),683.916,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",33,"326","    Plastics and rubber products manufacturing",284.586,276.730,292.535,251.374,191.508,157.186,196.918,162.376,100.000,107.927,102.882,117.530,122.050,105.636,94.771,91.482,(NA)
 "27100" ,"Jackson, MI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",34,"42","  Wholesale trade",96.472,98.094,105.718,110.227,112.945,112.600,117.631,114.796,100.000,108.484,108.059,111.180,101.723,122.876,121.198,132.496,122.809
