GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",94.552,94.830,97.716,98.599,100.487,101.551,100.698,99.258,100.000,101.914,102.592,101.968,103.246,104.594,106.117,104.619,105.640
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",94.169,94.357,97.076,97.619,100.365,101.936,101.131,99.259,100.000,102.391,103.632,103.094,105.101,106.946,108.671,107.028,108.309
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",174.527,147.172,136.339,203.618,232.384,190.239,191.262,146.202,100.000,183.943,179.628,119.660,144.500,189.293,112.254,141.586,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",14.727,23.749,13.445,11.067,50.763,13.055,0.000,27.342,100.000,2830.777,6451.174,11999.145,11921.770,13342.647,6827.977,11409.279,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",116.843,91.797,98.558,102.972,301.279,113.975,0.000,201.848,100.000,7486.422,32846.688,35367.070,(D),(D),(D),(D),(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",116.359,34.280,31.160,28.564,111.573,103.817,103.208,102.243,100.000,100.886,99.259,105.451,111.416,92.083,95.595,96.823,102.964
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",131.493,129.961,124.028,123.716,120.358,103.740,98.230,93.630,100.000,101.504,107.874,109.919,113.959,114.963,125.497,119.632,117.813
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",96.793,94.122,97.108,99.202,97.405,99.643,99.072,94.556,100.000,102.178,98.372,99.807,98.057,109.731,108.130,103.758,104.521
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",131.459,123.042,122.167,128.828,120.702,108.564,105.796,109.096,100.000,104.158,114.028,116.136,127.442,130.211,123.497,115.887,113.128
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",123.606,144.603,135.845,123.962,163.780,160.778,160.865,135.070,100.000,89.800,102.053,104.955,89.847,85.250,93.686,99.993,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",179.577,161.377,171.137,183.330,175.926,99.847,98.310,119.672,100.000,104.276,88.298,85.813,92.639,94.096,116.600,120.210,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",146.399,175.440,164.604,166.883,143.433,130.614,100.101,93.691,100.000,99.261,110.400,118.208,117.219,120.926,118.570,114.992,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",507.222,471.014,395.300,405.073,175.236,180.196,149.284,134.795,100.000,123.613,150.225,132.381,120.063,121.861,119.538,118.482,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",81.622,67.456,67.643,78.730,97.560,113.950,118.950,117.788,100.000,79.098,91.592,84.255,96.226,100.080,81.836,73.632,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",179.687,133.007,158.910,174.293,175.549,178.390,161.959,179.218,100.000,177.366,212.471,174.941,189.347,168.673,179.373,189.874,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",33.519,38.055,42.175,41.727,43.511,48.629,59.448,74.730,100.000,89.570,94.623,84.413,85.135,88.627,96.366,95.638,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",78.884,79.132,84.079,83.771,85.410,95.582,96.205,87.577,100.000,101.281,91.374,92.512,85.226,100.605,101.163,98.154,100.368
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",47.044,46.167,51.391,49.681,51.876,61.109,72.503,70.996,100.000,98.606,96.764,103.495,74.009,137.938,141.909,135.720,(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11020" ,"Altoona, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",184.459,151.543,113.911,85.104,113.019,96.235,86.556,107.285,100.000,115.441,(D),(D),(D),(D),(D),(D),(NA)
