GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",84.246,85.453,90.505,97.608,103.759,107.378,106.781,107.036,100.000,102.481,103.427,102.614,108.310,110.105,110.141,110.434,113.230
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",85.048,86.138,91.734,99.813,106.706,110.799,109.443,109.048,100.000,102.896,103.902,103.284,111.046,114.060,114.354,114.439,118.091
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",108.615,65.360,87.477,106.424,131.804,124.378,115.619,114.217,100.000,114.577,105.474,84.546,96.951,126.102,119.119,87.990,(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",2297.433,2833.130,4415.642,3664.969,4549.655,3394.327,4623.012,222.688,100.000,23291.201,93821.694,30788.008,18960.687,31066.462,245209.740,444284.630,(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",110.004,109.066,108.592,128.115,123.667,(D),(D),123.408,100.000,124.791,128.925,113.167,97.505,104.306,106.949,105.087,111.044
