GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",102.448,100.252,99.837,106.930,108.363,105.837,104.771,106.280,100.000,101.361,106.788,103.933,105.868,103.896,103.920,101.685,100.853
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",104.060,101.428,100.854,108.778,110.345,107.441,106.057,107.500,100.000,101.659,108.364,105.320,107.463,105.459,105.700,103.230,102.307
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",240.055,216.287,214.978,137.892,166.305,186.023,128.617,105.656,100.000,109.058,127.068,140.668,107.230,104.654,106.062,143.759,125.810
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",260.088,233.220,235.008,147.335,179.517,194.597,127.096,104.549,100.000,111.911,130.843,144.763,101.535,96.985,103.075,153.241,(NA)
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",129.083,121.886,104.735,87.353,94.655,137.739,136.577,111.667,100.000,94.763,107.720,119.831,152.527,162.688,138.686,128.135,(NA)
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",63.200,56.123,63.219,81.563,114.764,96.227,101.142,72.018,100.000,154.309,201.840,177.767,191.720,290.545,200.116,142.792,98.143
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",20.133,20.955,15.485,23.139,20.793,15.356,16.550,22.812,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",153.268,141.835,159.306,152.629,320.123,226.194,211.746,100.569,100.000,89.326,91.248,(D),(D),0.000,63.077,61.163,(NA)
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",46.737,32.201,47.388,108.458,65.923,103.427,135.748,129.812,100.000,(D),(D),209.405,197.618,(D),(D),(D),(NA)
 "21500" ,"Erie, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",98.200,86.498,90.144,102.581,94.369,99.698,99.818,103.597,100.000,110.422,98.962,93.721,91.423,90.158,86.546,85.065,90.112
