GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",98.664,98.593,101.165,100.400,99.034,99.945,99.648,99.388,100.000,103.466,106.488,107.191,109.130,112.960,116.579,116.861,121.179
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",98.185,98.044,100.829,99.943,98.654,99.788,99.564,99.290,100.000,103.685,107.293,108.244,110.466,114.885,118.985,119.342,124.232
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",835.285,1170.427,1858.912,1487.432,1338.115,2156.533,575.751,208.091,100.000,394.211,582.049,748.719,969.276,1064.449,446.078,313.499,(NA)
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),70.340,76.483,100.000,(D),143.078,161.639,199.863,294.745,383.776,443.436,596.847
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",124.360,130.121,121.366,120.079,121.222,123.005,121.292,117.999,100.000,114.147,119.738,114.245,105.027,100.144,101.984,99.943,102.354
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",117.355,112.851,109.272,107.814,101.814,95.015,95.080,97.739,100.000,101.376,106.668,114.789,116.258,117.559,114.986,109.399,114.668
 "38300" ,"Pittsburgh, PA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",126.151,121.021,126.762,125.299,113.143,111.934,115.432,113.367,100.000,99.586,100.869,102.278,106.573,109.630,111.895,114.170,114.343
