GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",77.812,77.651,79.378,86.535,86.223,92.216,100.004,97.275,100.000,100.639,103.992,110.336,114.800,117.781,122.176,117.819,117.859
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",77.164,76.779,78.375,86.130,85.704,92.107,100.315,97.258,100.000,100.577,104.366,111.066,115.774,118.841,123.221,118.187,118.155
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),106.735,110.167,110.890,150.818,96.963,85.765,100.000,(D),(D),(D),83.237,75.386,114.012,126.037,118.279
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",62.885,83.221,99.366,107.922,108.501,153.292,88.996,79.139,100.000,58.467,38.482,60.406,75.728,64.757,111.079,126.836,(NA)
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),127.031,114.943,116.084,142.936,119.120,104.091,100.000,(D),(D),(D),87.227,91.745,102.148,103.829,(NA)
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),72.071,80.002,71.841,74.586,84.405,74.971,100.000,77.912,76.371,99.330,109.841,122.134,127.628,98.774,89.770
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26420" ,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
