GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",83.647,84.368,87.956,94.718,96.247,102.593,102.246,102.807,100.000,103.481,105.772,106.306,111.884,110.155,113.607,114.186,116.923
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",82.146,82.920,86.787,94.401,96.040,103.265,102.624,103.273,100.000,103.619,106.625,107.197,113.509,111.529,115.124,115.388,118.373
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",41.100,211.307,330.310,426.751,251.711,264.560,373.844,89.202,100.000,111.007,198.347,323.232,657.524,544.181,1052.852,708.921,1070.481
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",34.154,39.708,47.230,61.976,63.477,92.665,80.133,89.202,100.000,111.007,130.011,148.410,155.089,180.559,192.543,195.701,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",91.785,91.626,52.418,42.972,62.255,112.271,85.175,101.116,100.000,109.015,139.979,145.068,114.179,173.729,151.601,76.421,112.594
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",78.108,81.723,52.536,37.500,56.884,85.813,(D),(D),100.000,99.885,(D),(D),(D),(D),(D),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",85.915,84.948,87.195,94.334,99.312,109.150,110.667,100.511,100.000,106.828,99.124,99.700,107.484,112.287,114.717,137.340,146.002
