GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",80.816,84.326,86.823,88.792,90.885,97.878,100.063,98.891,100.000,102.020,102.205,99.389,101.857,103.530,108.098,111.641,114.920
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",75.315,79.039,82.922,85.855,88.278,96.780,100.027,98.573,100.000,102.116,101.732,98.842,102.850,104.775,110.777,114.567,118.940
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",113.195,81.228,95.434,98.407,120.056,140.703,102.243,106.504,100.000,114.701,152.562,110.751,126.619,148.540,133.617,136.517,(NA)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",68.293,72.981,84.806,93.895,85.460,92.532,96.644,110.433,100.000,108.655,108.977,105.057,97.210,(D),101.470,110.866,114.644
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",107.309,97.125,102.598,109.998,114.956,127.080,137.408,112.103,100.000,101.922,92.461,115.033,110.627,119.362,128.541,135.256,135.262
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",60.359,62.724,67.064,73.507,78.375,86.638,90.141,84.338,100.000,103.302,100.807,80.966,91.663,89.308,94.232,100.745,99.722
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",(D),(D),(D),(D),105.234,149.222,156.165,134.508,100.000,82.051,79.155,100.711,95.878,93.249,101.745,106.876,(NA)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "36260" ,"Ogden-Clearfield, UT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
