GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",90.024,92.888,98.652,101.673,104.967,105.207,106.769,105.298,100.000,102.596,103.383,109.278,109.918,113.649,118.939,121.630,124.022
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",90.649,93.559,99.590,102.855,106.384,106.629,108.377,106.306,100.000,103.250,104.406,110.759,112.025,116.176,122.420,125.553,128.175
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",142.255,125.653,139.962,140.494,150.101,137.626,146.936,145.203,100.000,172.804,185.601,169.269,157.810,229.260,221.422,236.892,217.140
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",156.105,137.169,150.519,149.717,153.283,135.772,149.347,149.278,100.000,184.546,199.333,176.127,165.030,244.172,236.368,248.625,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",41.533,41.586,62.230,73.581,132.086,154.568,133.998,115.021,100.000,92.476,90.182,136.036,118.993,133.308,124.698,159.099,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",128.725,111.930,155.118,160.683,88.706,142.572,148.663,127.436,100.000,67.026,49.255,52.290,129.291,280.639,474.662,449.404,280.960
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,52.623,39.916,198.853,46.973,94.590,100.000,5.977,114.685,49.372,1122.850,2348.798,2007.981,4126.341,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",128.836,112.026,155.252,160.781,88.751,142.519,148.766,127.451,100.000,67.055,49.185,52.281,128.653,279.348,473.570,447.260,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",132.187,124.162,121.215,127.918,123.934,122.991,122.332,102.870,100.000,90.600,92.394,96.686,103.363,100.131,102.497,96.025,91.780
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",103.161,106.611,114.540,114.657,114.511,117.857,119.270,113.142,100.000,98.390,102.708,106.386,106.259,109.198,105.625,109.222,111.501
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",104.811,106.713,116.784,118.929,120.668,125.548,132.531,128.789,100.000,103.890,115.899,121.807,122.573,127.128,121.966,123.183,124.621
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",119.976,132.036,130.974,121.199,121.423,120.161,144.163,128.338,100.000,94.716,100.801,92.395,83.330,78.499,81.794,88.938,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",90.519,92.186,107.617,115.630,123.419,101.018,98.451,111.126,100.000,99.129,111.794,117.414,124.108,123.691,120.323,125.278,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",138.303,141.744,151.559,150.790,143.104,143.457,134.295,129.076,100.000,106.458,106.710,116.403,122.632,129.847,126.540,128.539,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",68.153,55.989,67.136,78.592,93.988,119.077,143.606,132.916,100.000,108.744,137.361,152.859,146.894,162.461,138.828,139.489,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",0.000,0.000,0.000,2.340,(D),(D),(D),94.919,100.000,75.278,68.674,85.927,90.434,88.229,89.532,96.494,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",108.176,161.244,157.976,174.636,160.592,201.379,212.080,225.201,100.000,216.982,321.961,292.923,286.847,293.920,(D),(D),(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",199.066,172.321,184.687,229.834,222.951,175.574,170.237,152.081,100.000,(D),(D),(D),54.980,57.161,51.881,47.532,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",125.531,121.833,112.030,125.287,135.505,188.258,129.174,142.589,100.000,109.292,115.270,136.031,133.612,149.129,189.709,175.983,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",129.435,160.558,157.258,182.941,134.208,140.608,117.633,117.095,100.000,110.978,142.199,183.519,289.060,233.731,235.232,258.662,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",102.481,108.574,113.039,109.562,105.966,106.642,98.478,88.376,100.000,89.963,82.968,83.368,81.915,82.435,81.257,88.492,92.062
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",20.235,16.601,(D),(D),(D),(D),(D),(D),100.000,101.543,81.984,93.356,111.131,105.864,97.641,94.917,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),165.081,139.905,63.659,65.703,78.082,107.315,100.000,124.798,121.293,168.148,173.540,182.304,182.338,149.700,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",117.461,128.798,135.647,127.823,121.226,117.944,105.867,87.619,100.000,84.175,76.971,70.435,62.528,65.440,63.107,69.838,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",120.693,123.303,101.711,106.455,115.756,97.071,97.253,105.783,100.000,129.687,139.003,186.795,187.904,204.274,184.304,186.708,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",32,"325","    Chemical manufacturing",143.893,135.894,121.213,123.040,115.140,131.217,94.853,101.242,100.000,130.206,100.901,96.995,96.626,103.223,112.905,129.173,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",33,"326","    Plastics and rubber products manufacturing",129.485,151.175,133.757,148.114,158.022,183.068,117.307,99.609,100.000,64.036,61.136,71.641,65.553,64.257,70.614,77.881,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",34,"42","  Wholesale trade",92.538,108.624,101.930,113.435,122.473,124.314,125.563,123.854,100.000,103.105,102.684,103.762,103.295,105.770,111.770,114.327,123.984
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",35,"44-45","  Retail trade",115.110,119.577,124.628,121.600,116.826,116.729,105.976,101.730,100.000,100.390,103.826,107.297,114.652,118.957,123.653,109.937,113.409
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",36,"48-49","  Transportation and warehousing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",37,"481","   Air transportation",(D),124.332,91.411,74.419,88.442,90.429,93.678,89.578,100.000,148.685,100.306,(D),(D),(D),(D),(D),(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",38,"482","   Rail transportation",132.734,126.269,138.924,130.730,(D),123.571,108.541,114.744,100.000,102.025,112.894,88.334,158.896,173.662,197.292,188.705,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",39,"483","   Water transportation",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",40,"484","   Truck transportation",132.926,132.314,141.329,156.145,161.146,148.609,145.533,140.001,100.000,116.419,127.431,139.871,130.562,123.113,115.583,116.103,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",41,"485","   Transit and ground passenger transportation",98.787,98.408,98.186,95.369,94.567,96.020,96.188,85.405,100.000,103.058,106.030,112.050,117.293,113.731,121.984,122.340,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",42,"486","   Pipeline transportation",8677.194,0.000,(D),(D),0.000,(D),0.000,187.771,100.000,1126.263,2322.887,3277.942,1440.267,147.376,594.832,529.256,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",44,"493","   Warehousing and storage",55.163,55.261,57.053,68.828,44.931,45.616,61.206,121.483,100.000,97.006,100.288,106.421,117.476,88.062,92.314,95.449,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",45,"51","  Information",62.334,100.203,110.593,108.400,118.046,114.520,122.307,119.028,100.000,92.017,88.657,84.684,86.649,86.132,81.841,83.744,83.847
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",46,"511","   Publishing industries (except Internet)",(D),(D),(D),123.536,131.666,113.069,129.114,119.876,100.000,98.194,91.088,75.566,70.122,70.697,(D),33.317,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",47,"512","   Motion picture and sound recording industries",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",48,"515, 517","   Broadcasting (except Internet) and telecommunications",(D),100.689,110.390,107.964,116.898,117.091,125.583,118.367,100.000,89.797,91.108,90.851,95.014,92.698,98.705,102.536,(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",71.467,68.690,81.491,84.986,93.571,91.492,99.125,95.026,100.000,106.806,104.508,112.231,115.344,119.587,146.720,159.670,162.546
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",51,"52","   Finance and insurance",74.365,68.514,76.495,85.939,101.959,99.517,105.805,91.989,100.000,96.557,96.826,96.408,97.261,112.802,130.594,138.193,138.492
 "48140" ,"Wausau, WI (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",48.699,65.850,69.941,71.107,73.389,70.034,69.938,73.462,100.000,92.217,96.689,98.011,96.086,96.932,96.647,97.236,(NA)
