GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",88.741,90.302,92.633,95.978,99.208,101.955,103.571,102.863,100.000,102.042,103.424,105.652,107.187,109.724,113.210,115.032,117.473
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",88.271,89.799,92.320,96.048,99.668,102.717,104.471,103.396,100.000,102.288,103.980,106.589,108.485,111.427,115.351,117.303,120.134
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",77.402,81.841,85.575,90.143,95.618,102.829,87.015,85.874,100.000,100.430,92.086,85.738,97.748,99.180,107.089,120.693,109.781
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",76.413,81.445,85.199,90.327,97.430,101.165,82.155,82.129,100.000,99.544,89.135,79.157,94.301,94.645,103.738,120.305,(NA)
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",81.701,84.401,88.135,90.734,90.444,108.599,103.747,98.315,100.000,103.139,102.409,111.629,110.068,115.835,119.900,125.967,(NA)
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",85.393,84.159,74.631,74.530,73.637,80.972,85.952,85.978,100.000,90.771,96.571,109.082,117.986,130.840,140.631,121.053,130.022
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",78.906,84.166,70.902,69.588,67.373,72.900,77.268,77.047,100.000,85.013,88.666,105.743,117.398,131.221,154.090,133.085,(NA)
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",117.327,110.200,112.097,116.224,118.702,118.409,119.271,106.667,100.000,106.157,111.140,102.980,102.797,105.419,101.482,98.716,(NA)
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",94.593,66.345,67.899,73.011,80.028,106.800,119.346,132.281,100.000,111.044,134.586,136.283,135.131,151.548,109.732,81.996,(NA)
 "00998" ,"United States (Metropolitan Portion)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",103.778,105.855,102.003,107.181,100.628,106.388,107.409,108.182,100.000,109.258,110.817,110.007,108.772,106.509,104.137,108.762,110.798
