GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",4650.4,4578.9,4701.5,5099.8,5001.7,5032.2,5051.3,4988.6,4846.8,4969.7,4811.4,4922.0,4928.1,4926.1,4548.0,4661.1,4653.9
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4083.5,4006.9,4123.7,4528.3,4430.3,4470.5,4466.9,4412.8,4265.8,4394.0,4246.6,4344.9,4373.3,4393.0,4020.5,4144.0,4134.6
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",73.6,44.4,71.7,94.1,88.8,26.7,41.6,56.4,76.3,55.6,5.8,26.3,68.1,57.8,51.3,13.2,(NA)
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.3,0.4,0.2,0.0,0.0,0.0,(L),(L),0.0,0.3,3.9,6.9,11.2,5.1,1.2,0.5,(NA)
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),56.3,59.6,(D),(D),(D),(D),(D),62.8,58.6,63.7,64.8
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",449.1,336.3,301.2,344.1,313.3,305.0,316.4,317.1,290.2,288.1,263.8,274.7,254.8,231.9,216.4,216.1,212.6
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1721.0,1605.4,1834.5,2087.2,1983.1,2086.6,2071.5,2067.2,2054.9,2080.1,1993.1,2020.0,2057.7,2094.0,1765.2,1864.4,1821.4
 "19460" ,"Decatur, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),824.0,819.3,817.4,839.2,830.5
