GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",14534.5,14562.5,14711.9,15179.2,15852.6,16938.7,16707.4,16680.4,16488.9,16524.6,16843.1,16451.6,16237.0,16208.2,16547.0,16836.5,16803.4
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",12507.0,12487.1,12590.7,13012.8,13680.1,14801.2,14514.2,14471.3,14221.1,14277.9,14638.6,14312.6,14189.2,14192.9,14545.7,14880.7,14848.7
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",55.2,56.2,62.3,64.4,54.0,93.7,64.2,51.3,63.2,73.4,67.0,59.8,50.5,52.4,58.5,69.7,68.1
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",23.7,26.6,37.7,38.1,31.1,60.9,36.3,28.9,42.8,37.1,33.6,24.2,23.1,14.3,18.7,33.5,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",32.1,30.0,24.5,26.4,23.2,32.8,28.8,23.3,20.4,36.9,34.1,38.8,28.9,43.2,45.2,43.3,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",496.4,467.3,537.8,720.7,773.6,787.8,773.2,672.5,718.2,417.7,269.3,219.2,202.6,195.7,149.0,211.1,177.7
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",426.3,425.6,522.2,704.6,757.9,(D),(D),(D),700.0,399.3,(D),198.0,181.6,175.3,(D),(D),(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",12.8,5.1,5.6,6.4,8.4,(D),(D),(D),6.4,7.9,(D),8.8,6.7,6.2,(D),(D),(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",52.8,34.0,10.0,8.3,5.6,9.8,10.6,11.2,11.9,11.4,14.3,16.7,18.7,18.6,11.9,3.7,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),358.9,357.8,(D),285.7,312.6,336.1,394.4,297.5,336.2,318.5,292.6,283.2,286.1,284.4,287.8,281.9
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1191.3,1108.0,1014.2,912.9,1152.7,1294.2,1251.5,1117.1,1003.8,1073.4,981.5,800.1,749.0,693.0,678.3,686.3,651.9
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1924.3,1734.9,1872.1,2080.5,1971.3,2163.8,2279.7,2287.9,2323.9,2561.9,2708.6,2958.9,3197.3,3358.0,3600.9,3673.9,3615.9
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",619.6,628.6,(D),(D),763.4,882.2,982.9,1139.9,1035.9,1195.0,1370.7,1665.3,1783.6,1807.4,1942.3,1961.9,1914.5
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",53.5,50.6,54.6,61.6,62.2,68.6,56.5,44.3,40.8,47.1,49.2,39.5,47.7,44.3,47.8,45.1,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",74.5,79.0,72.6,74.7,72.3,74.2,108.2,92.5,80.3,58.7,49.3,35.8,43.2,42.6,39.2,32.7,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),82.1,110.6,121.2,220.0,230.2,339.4,467.5,675.0,666.5,681.2,738.0,843.5,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",153.9,144.5,140.7,139.8,138.4,129.3,155.9,157.9,118.1,128.5,150.8,161.9,161.0,156.1,150.7,149.3,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",35.5,32.8,22.2,34.8,50.8,77.1,57.1,60.1,51.6,58.9,75.6,76.7,73.1,69.5,58.1,49.8,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",29.7,34.7,34.0,48.9,50.5,53.3,57.4,49.2,57.7,53.9,46.8,41.4,43.4,54.8,53.0,55.0,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",23.3,27.7,22.7,11.4,10.6,13.9,10.7,12.7,10.7,8.8,8.5,9.8,(D),(D),(D),6.1,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),7.6,9.0,(D),13.2,20.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),200.1,221.3,(D),326.6,409.3,(D),(D),(D),(D),(D),612.5,618.3,703.2,(D),(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",25.3,25.9,24.2,29.4,34.5,45.7,31.5,23.1,15.1,17.3,12.5,9.7,13.0,18.8,24.5,24.1,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",10.8,10.7,10.0,10.9,14.9,22.1,17.1,17.5,12.7,20.4,17.8,16.4,10.7,13.3,14.6,14.0,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",1386.0,1157.6,(D),(D),1250.8,1316.3,1319.3,1138.2,1287.9,1366.1,1334.4,1296.2,1415.0,1544.9,1653.2,1704.0,1691.6
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),120.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),3.4,(D),(D),(D),3.0,3.4,3.7,3.0,16.7,12.5,17.6,(D),(D),16.2,14.1,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.1,(D),(D),(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",396.0,202.4,162.3,233.5,224.4,226.7,209.4,191.3,202.0,179.5,168.3,192.4,186.9,207.2,201.4,201.9,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",10.3,12.4,13.4,11.8,11.7,12.3,12.0,10.8,9.8,8.5,8.2,9.3,11.9,13.4,12.7,9.3,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",40.2,99.1,107.1,124.1,(D),63.1,(D),(D),(D),(D),(D),92.9,128.2,138.2,329.0,361.3,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",757.7,689.0,940.2,975.3,773.6,877.7,847.0,738.9,875.0,1000.2,918.9,834.7,886.5,978.3,837.7,854.5,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",24.7,19.9,15.6,15.8,16.6,17.6,24.0,24.2,26.4,25.3,27.4,25.5,35.6,39.0,45.6,47.2,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",1003.4,1025.1,1034.3,1030.5,1091.5,1131.6,1131.6,1096.1,971.7,914.9,954.1,945.9,965.4,982.5,990.3,1079.4,1075.0
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",1119.1,1138.4,1162.0,1164.9,1267.5,1307.5,1268.5,1221.1,1157.7,1182.3,1167.0,1133.0,1139.8,1202.3,1174.4,1239.7,1249.9
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",(D),513.4,520.9,(D),607.2,694.6,755.2,850.0,736.5,754.9,788.4,838.2,819.9,744.8,679.0,639.8,611.1
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",5.9,8.0,8.4,9.1,12.7,(D),17.8,21.0,21.1,23.4,17.6,15.5,12.5,10.8,11.1,13.0,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",71.4,67.5,71.7,76.6,(D),(D),67.5,70.1,63.9,65.6,64.8,68.9,66.2,69.8,65.0,63.3,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",10.5,8.5,13.1,15.4,21.2,32.5,93.9,145.1,159.0,148.2,173.1,172.6,226.8,181.5,126.9,93.0,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",216.3,213.1,215.6,232.6,243.4,267.8,247.3,215.7,170.7,193.5,205.2,222.9,207.8,216.4,227.3,219.0,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",9.0,9.4,9.9,14.7,14.6,16.6,15.5,23.1,19.9,22.0,21.3,21.0,15.7,14.9,15.2,13.4,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",11.2,16.1,20.6,21.2,24.9,32.8,37.5,52.9,32.1,42.1,33.2,(D),39.5,17.2,18.4,15.6,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",(D),224.8,209.0,(D),(D),(D),236.1,273.5,236.5,232.1,225.6,(D),211.5,197.4,188.0,194.7,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",44,"493","   Warehousing and storage",18.1,15.5,14.3,23.2,32.8,51.8,54.5,54.4,33.4,29.3,52.2,61.7,55.1,49.9,35.6,34.4,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",45,"51","  Information",291.6,293.1,284.4,326.4,383.6,439.5,434.9,499.1,436.3,410.9,407.4,395.7,368.1,394.2,406.7,377.9,470.7
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",46,"511","   Publishing industries (except Internet)",(D),(D),(D),(D),(D),(D),121.4,120.0,118.6,125.0,120.0,114.0,65.8,58.7,59.0,60.3,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",47,"512","   Motion picture and sound recording industries",10.4,10.6,10.3,11.5,12.8,15.7,23.9,12.0,15.8,11.6,12.1,13.5,10.2,10.0,13.0,7.3,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",215.0,196.1,180.7,197.6,239.8,296.6,268.9,332.7,275.7,247.9,252.5,250.8,273.3,300.8,314.1,303.5,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),(D),(D),(D),21.9,34.2,26.2,26.5,22.7,17.4,19.2,25.7,21.3,7.3,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",2314.3,2454.0,2379.4,2356.6,2572.4,2897.0,2482.7,2530.5,2835.8,2706.2,3226.9,2982.1,2744.6,2600.9,2703.5,2779.3,2740.0
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",625.2,669.5,691.9,669.9,827.0,1034.0,741.9,627.7,775.8,627.1,968.6,812.7,707.4,678.6,695.8,800.1,823.9
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",309.7,365.9,404.3,397.2,372.0,320.1,263.6,217.7,(D),(D),196.5,266.7,250.1,240.2,228.5,200.4,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",59.6,52.5,45.1,42.5,54.2,56.1,51.0,(D),45.0,46.8,(D),(D),(D),(D),(D),(D),(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",54,"524","    Insurance carriers and related activities",232.5,221.6,210.7,200.8,378.0,652.1,410.8,360.8,502.7,352.4,710.7,467.0,364.6,360.2,380.8,527.0,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",55,"525","    Funds, trusts, and other financial vehicles",7.1,5.6,3.0,1.1,4.3,5.0,3.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",56,"53","   Real estate and rental and leasing",1693.3,1788.2,1685.9,1687.2,1733.9,1838.1,1733.1,1904.7,2060.0,2081.0,2251.2,2167.5,2038.7,1922.8,2009.4,1968.5,1900.2
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",57,"531","    Real estate",(D),(D),(D),(D),(D),(D),1391.8,1594.2,1766.3,(D),(D),1678.1,1645.2,(D),1669.3,1633.2,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets",(D),(D),(D),(D),(D),(D),343.0,310.9,293.6,(D),(D),489.3,392.2,(D),335.8,331.4,(NA)
 "33660" ,"Mobile, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",59,"54, 55, 56","  Professional and business services",1209.6,1264.6,1251.7,1252.1,1287.6,1353.0,1420.5,1501.9,1416.1,1621.8,1569.2,1524.1,1539.9,1518.1,1563.3,1582.7,1631.2
