GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",9738.5,10371.7,10499.1,10634.8,10740.1,10968.5,11443.7,11327.1,11460.8,11894.6,12039.2,12535.0,13360.7,13284.1,13671.3,14253.8,15073.1
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",7838.4,8388.2,8552.6,8701.4,8789.5,9069.2,9625.0,9459.1,9599.2,10067.5,10246.9,10713.9,11179.7,11067.7,11363.9,11874.3,12670.7
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",30.1,17.8,9.0,35.8,40.4,40.7,46.5,38.7,43.7,50.7,41.9,39.5,44.0,54.1,57.6,58.2,53.9
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",27.5,15.1,4.8,28.9,33.0,31.6,37.7,28.5,32.3,42.2,33.8,30.9,34.5,43.9,47.8,50.5,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",3.2,3.1,4.6,6.2,6.6,8.4,7.6,10.2,11.4,8.2,8.2,9.0,10.1,10.2,9.8,7.9,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",69.4,76.4,89.6,85.6,110.5,101.3,96.1,76.6,76.7,71.0,77.3,82.7,98.1,106.7,90.4,96.4,99.8
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",6.8,8.3,7.7,6.5,11.5,11.4,11.6,14.2,22.4,23.2,29.2,(D),29.4,18.0,9.9,38.8,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",71.6,79.2,95.7,86.4,108.2,92.6,86.7,60.8,48.9,41.5,37.6,(D),48.4,55.5,56.1,50.5,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",2.5,1.8,2.0,6.4,6.4,9.4,8.8,5.8,5.5,6.2,9.9,(D),21.7,38.7,29.3,22.3,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",54.7,59.4,56.3,65.2,55.1,53.2,63.5,62.1,65.9,76.9,82.1,88.1,88.7,98.9,81.9,91.9,95.4
