GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",8550.0,8435.5,8416.3,8640.1,8599.4,8341.9,8046.2,8234.0,7906.6,7966.2,7822.6,7855.8,8047.0,8388.5,8372.0,8400.0,8457.0
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",7495.4,7344.1,7325.8,7570.0,7527.5,7311.3,7043.3,7302.7,6968.1,6982.4,6828.3,6860.8,7097.0,7479.2,7440.5,7476.8,7520.4
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),61.6,72.8,80.9,88.4,84.4
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",35.3,26.4,28.1,29.9,33.5,21.3,18.8,24.8,31.4,37.4,32.8,35.6,37.3,47.7,55.4,64.7,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),24.2,23.7,23.5,21.9,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),65.8,74.9,83.4,94.8,95.3
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),0.0,0.0,0.0,0.0,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),94.6,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),0.1,0.2,0.2,(D),(D),(D),(D),0.5,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),319.9,316.1,337.6,336.2
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",489.0,(D),476.6,(D),407.4,373.6,354.2,342.2,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1721.2,(D),1398.0,(D),1355.4,989.4,720.6,683.1,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),372.3,359.1,352.1,(D),(D)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.9,15.5,15.4,19.6,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),98.7,93.3,116.1,(D),(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),0.3,(L),0.2,(L),0.2,0.2,0.2,0.6,0.7,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),78.8,74.7,73.5,76.1,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23.2,(D),(D),28.4,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),0.0,(D),(D),(D),(D),(D),(D),(D),(D),0.3,0.2,0.4,(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "31420" ,"Macon-Bibb County, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),0.0,(L),(L),(D),(D),0.0,0.0,0.0,0.1,0.5,1.4,0.0,0.0,0.0,(NA)
