GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",28118.4,30733.8,33218.4,36046.2,38165.3,37277.2,40203.4,36233.3,35146.3,35901.5,36971.9,39381.2,39353.4,41308.5,45262.2,47653.9,49031.4
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",25211.1,27794.5,30226.0,33040.7,35115.5,34205.5,37099.8,33024.3,31805.6,32547.0,33648.8,36013.0,36018.8,37887.5,41785.5,44107.2,45506.5
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),246.4,196.5,(D),(D),(D)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",53.5,103.3,109.7,190.4,154.3,175.6,198.5,265.7,300.1,186.4,249.1,200.5,223.4,175.3,153.5,167.7,(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21.1,20.8,(D),(D),(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),32.9,40.7,(D),(D),32.4
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),32.5,40.4,37.4,32.8,(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),0.5,0.4,(D),(D),(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),217.1,202.8,217.3,389.0,402.9
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1489.4,1451.4,1587.0,1807.2,1761.6,(D),1426.9,1297.0,1179.9,1166.2,1249.6,1287.9,1385.6,1556.6,1596.6,1738.0,1746.2
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",2267.6,2340.1,2386.5,2673.0,2459.3,(D),2386.9,2392.5,2247.7,2428.3,2420.1,2609.7,2468.4,2507.4,2604.8,2477.3,2679.1
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),911.2,1179.5,1222.0,(D),(D),(D),(D),(D),(D),(D),935.0,1017.1,1025.8,946.0,1010.3
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),33.6,(D),(D),(D),(D),(D),31.3,(D),(D),(D),(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),102.2,115.6,126.7,122.8,(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
