GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",14322.5,14289.5,14867.2,15819.3,16604.2,17825.3,18380.2,18820.9,18004.8,18405.5,20134.1,21494.4,18509.3,18506.0,17594.8,17262.9,16364.0
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",12876.0,12786.9,13347.4,14298.7,15076.7,16308.8,16864.1,17321.0,16500.7,16872.8,18630.0,20012.3,17039.8,17037.9,16159.2,15837.2,14949.1
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",98.2,136.5,165.2,195.5,93.9,149.9,205.5,296.9,322.3,206.4,292.2,193.3,289.8,192.4,87.8,178.0,(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),24.1,16.3,(D),(D),(D),(D),(D),(D),(D)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.4,0.5,1.3,1.2,(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,0.0,0.0,0.0,0.3,(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),386.2,350.4,333.0,344.5,417.6,438.1,(D),449.5,434.4,464.7,450.2,(D),403.1,451.2,(D)
