GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3490.1,3442.6,3523.1,3802.7,3910.2,4164.7,4409.6,4578.9,3937.4,4339.2,4545.0,4826.2,4908.4,5019.1,5070.7,5058.0,5235.9
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3148.8,3093.3,3171.6,3450.5,3553.2,3731.2,4048.4,4209.5,3571.6,3977.6,4187.0,4467.6,4572.9,4674.4,4728.8,4706.4,4888.1
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",15.2,3.9,21.1,26.0,17.0,19.3,14.0,28.3,52.6,13.4,23.8,27.9,50.8,37.0,11.8,41.5,(NA)
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),7.1,6.4,6.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0.1,0.1,0.1,(L),(L),(NA)
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),0.0,0.0,(L),(L),(NA)
 "18020" ,"Columbus, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",48.9,49.6,46.3,46.7,46.5,46.7,43.4,49.6,46.2,52.9,50.3,45.6,46.2,48.7,47.8,52.5,58.2
