GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",25465.4,25316.8,24869.9,26959.3,26090.4,27621.1,29209.4,28488.6,25651.6,27820.6,27711.3,28345.7,26528.3,27397.1,28926.0,30030.9,29609.8
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",22661.1,22439.3,21983.6,24048.8,23191.0,24679.2,26262.4,25476.3,22628.4,24825.8,24720.5,25366.3,23578.7,24439.3,26066.2,27195.4,26805.8
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),343.1,234.6,262.4,380.7,335.8
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",19.2,60.0,174.7,236.0,206.1,377.2,165.5,307.2,295.2,227.5,140.8,211.3,292.8,193.1,222.7,340.8,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),43.0,39.1,36.1,36.0,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",555.1,576.7,491.7,495.7,499.4,532.5,(D),(D),(D),(D),(D),(D),892.5,868.7,825.5,632.6,(D)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),805.6,777.7,770.3,581.0,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.9,(D),(D),(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),76.1,(D),(D),(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),434.8,291.1,305.5,(D),(D)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1218.7,1181.4,1200.2,1215.8,1178.2,1120.8,1150.0,1163.3,1122.5,1162.5,1123.2,1195.9,1200.1,1185.4,1249.7,1241.2,1189.9
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",7936.0,7290.5,6735.5,6325.6,6367.0,8140.6,10336.7,8546.8,6083.1,6953.7,7116.8,6446.5,4731.4,5722.1,6632.5,7646.0,7627.2
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3994.1,4726.3,5582.0,5700.9,5639.4
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),9.4,(D),(D),(D),18.9,15.4,18.2,20.0,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),49.3,55.9,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.9,15.9,13.5,11.9,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",264.2,247.5,(D),(D),298.5,326.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),391.3,488.7,463.8,(D),463.5,431.1,381.5,447.1,552.0,(D),517.3,545.5,507.3,480.4,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),332.1,310.9,291.0,203.3,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),39.9,52.9,47.6,75.5,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),31.3,35.2,34.1,(D),(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4121.0,(D),(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),54.2,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),83.2,82.5,80.6,86.0,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),733.0,977.4,1039.5,1889.0,1930.9
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),329.4,345.4,380.2,318.0,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.5,(D),(D),(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12.7,11.6,10.4,9.8,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),161.4,141.4,145.3,135.9,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),583.8,(D),467.3,420.5,428.1,(D),(D),(D),(D),(D),(D),(D),163.7,377.1,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),105.7,95.0,110.3,113.6,(NA)
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",(D),(D),(D),1519.3,1564.8,1631.5,1574.2,(D),(D),1660.5,(D),(D),1500.5,1444.8,1512.4,(D),1454.1
 "48620" ,"Wichita, KS (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",1675.4,1715.2,1840.0,1838.0,1887.6,1879.6,1855.0,1837.4,1820.9,1812.2,1885.2,1924.8,1980.4,1964.5,2029.2,2062.1,2055.6
