GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",51380.7,51389.7,52426.6,53895.8,54974.1,56423.5,57069.7,55648.1,52988.8,55377.2,56898.5,59016.0,58993.3,62653.6,63913.8,64735.7,65700.3
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",46024.8,45899.1,46904.8,48329.8,49350.1,50555.8,51359.0,49787.5,47220.3,49466.6,51249.5,53268.5,53288.0,56986.8,58338.9,59181.4,60196.7
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),178.0,145.3,160.4,114.1,92.4
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",100.6,79.9,104.3,108.9,62.5,82.8,62.7,60.8,57.6,49.2,69.6,71.1,143.1,112.1,128.1,81.9,(NA)
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26.3,27.9,25.9,26.8,(NA)
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),114.7,124.1,140.2,178.1
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),89.6,96.7,(D),84.1,(NA)
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "31140" ,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
