GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",10264.2,11039.5,13161.6,14231.2,17836.2,15147.3,12677.8,12411.3,11651.8,12661.6,10797.0,11155.0,10429.5,11529.9,12420.0,13394.7,13614.5
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",9397.5,10150.2,12259.4,13308.4,16881.6,14196.9,11781.6,11497.1,10726.8,11712.4,9864.8,10235.2,9554.3,10666.3,11527.7,12461.3,12684.3
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",22.7,(D),22.2,23.6,15.3,29.9,12.1,11.0,22.1,23.6,22.2,26.3,32.4,34.7,31.4,28.5,(D)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",11.3,7.7,11.4,11.9,5.6,18.9,4.1,3.1,8.4,10.5,10.1,12.7,20.1,21.6,18.4,15.1,(NA)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",9.9,(D),9.3,10.1,9.1,9.3,7.9,8.0,13.7,13.0,12.0,13.2,9.8,10.3,10.6,11.1,(NA)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",422.7,302.1,188.0,240.9,200.3,223.1,296.4,231.4,331.1,175.9,244.6,232.9,170.0,134.0,130.1,121.0,(D)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",355.9,199.2,82.7,119.1,95.7,100.0,127.0,75.8,195.0,51.8,114.1,124.5,(D),(D),(D),(D),(NA)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,(L),0.1,0.1,(D),(D),(D),(D),(NA)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",93.6,113.7,108.7,123.3,107.1,128.6,178.8,176.6,136.1,132.5,124.6,96.9,76.6,58.1,37.5,36.6,(NA)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",736.9,685.4,612.7,639.8,616.3,676.7,742.0,834.5,704.3,569.2,587.8,645.8,746.2,1157.2,1237.0,1614.3,2002.2
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",3938.6,4756.7,7087.6,8117.3,11385.7,8735.7,6303.8,5782.9,5171.8,6423.5,4794.0,(D),4345.8,4900.8,5174.3,5802.6,5588.8
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",179.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),214.8,214.9,(D),311.4,(D),(D)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",0.9,7.7,10.8,15.6,(D),(D),(D),(D),(D),(D),(D),(D),16.9,(D),18.8,20.8,(NA)
 "29340" ,"Lake Charles, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",12.4,14.0,17.5,16.2,(D),22.0,33.4,29.8,24.6,23.0,22.8,20.2,24.9,24.1,(D),(D),(NA)
