GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",72083.1,72642.2,75148.4,77059.1,76734.8,71356.6,67722.2,67627.9,67917.1,71262.9,65251.6,65736.3,61936.2,64052.4,67777.0,67627.9,67023.5
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",64551.1,64747.1,66994.1,68787.5,68905.9,64815.6,61224.3,60846.4,60987.0,64070.1,58211.6,58858.4,55357.4,57761.7,61416.4,61338.4,60811.0
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),86.9,94.8,121.1,165.1,(D)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",15.6,21.0,17.2,17.7,22.1,51.8,32.5,18.0,27.0,32.1,24.8,17.3,21.5,19.0,24.9,21.9,(NA)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),65.0,77.1,97.7,144.4,(NA)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3270.5,3630.4,3740.3,2458.8,2009.7
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2674.0,2972.9,3293.1,2195.0,(NA)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),46.4,61.5,75.7,70.9,(NA)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),554.6,599.7,406.3,229.6,(NA)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1148.2,1197.4,1122.3,(D),1137.8
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",2776.7,2596.1,2752.3,2759.7,2541.6,2989.4,3036.7,3215.9,3324.7,3454.7,3340.7,3252.9,2784.3,2576.5,2635.6,2408.7,(D)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",7347.1,9650.8,13971.4,16423.3,21290.1,18012.1,14131.0,13909.6,13230.8,15674.9,10820.4,10968.4,10254.9,11357.8,12223.9,12769.0,12255.8
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),1651.5,1778.8,2113.9,1960.7,(D),(D),(D),2096.8,1802.1,1620.7,1528.3,1390.3,1274.0,1209.1,1244.2
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13.2,13.0,14.4,12.6,(NA)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),116.8,106.1,119.2,109.9,(NA)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),137.0,118.5,154.0,145.4,(NA)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),216.7,218.8,(D),191.7,213.9,287.0,299.4,222.8,(D),(D),(D),(D),(D),(D),(D),(NA)
 "35380" ,"New Orleans-Metairie, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),189.6,199.4,197.4,195.9,(NA)
