GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3853.4,4076.0,4339.0,4436.9,4389.0,4575.9,4661.3,4690.6,4928.6,5273.9,5478.2,5423.8,5441.8,5444.3,5514.0,5586.7,5584.6
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",1757.6,1970.4,2213.9,2334.9,2284.3,2341.8,2404.7,2448.6,2576.2,2764.1,2868.5,2839.0,2796.4,2754.4,2770.4,2790.9,2811.0
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",19.1,3.0,(D),14.4,11.7,10.8,7.2,6.7,7.0,(D),(D),(D),(D),(D),(D),(D),(D)
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",16.1,0.0,10.3,11.2,8.7,6.8,3.7,3.9,4.5,0.0,4.0,0.3,0.0,0.0,0.0,0.0,(NA)
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",3.3,3.1,(D),3.2,3.0,4.1,3.8,2.8,2.5,(D),(D),(D),(D),(D),(D),(D),(NA)
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(L),(L),(D),(L),0.1,(L),(L),(L),0.0,(D),(D),(D),(D),(D),(D),(D),(D)
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),0.0,(L),(L),(NA)
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(L),(L),(D),(L),0.1,(L),(L),(L),0.0,(D),(D),(D),(D),(D),(D),(D),(NA)
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),0.0,(L),(L),(NA)
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",164.1,174.9,182.4,186.3,179.0,167.0,157.2,143.9,142.8,153.1,166.8,165.1,158.5,168.4,162.4,154.7,158.0
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",48.2,44.6,48.3,49.1,46.3,48.1,57.8,60.7,61.9,61.7,61.2,65.5,70.7,54.6,52.2,55.4,68.0
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",31.3,27.2,28.0,31.1,33.6,37.9,48.3,51.2,48.7,49.4,49.3,52.6,55.3,42.4,37.4,41.8,57.3
 "15680" ,"California-Lexington Park, MD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",0.5,0.7,0.5,0.5,0.7,0.6,0.5,0.5,0.7,0.5,0.5,0.5,(D),(D),(D),(D),(NA)
