GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",18883.4,19895.3,20211.9,19952.5,20272.6,20192.5,20573.8,19943.6,18616.5,19273.2,19126.1,19085.3,19171.4,18691.9,19574.8,20045.2,20545.5
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",14085.6,14912.8,15246.6,15069.4,15311.7,15214.7,15690.3,14940.9,13537.0,13973.9,13963.6,13662.6,13759.0,13380.5,14021.2,14381.6,14908.9
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",6.1,8.0,15.5,21.7,22.1,27.4,19.3,14.8,23.1,24.8,(D),17.1,39.3,22.5,33.5,42.4,42.8
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",1.9,3.7,12.8,18.9,19.6,24.2,15.8,11.8,20.1,21.1,36.9,13.9,35.7,18.7,28.9,38.0,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",4.5,4.5,2.8,2.7,2.4,3.1,3.6,3.1,3.0,3.6,(D),3.6,3.2,4.1,4.9,4.9,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",20.4,13.2,9.5,2.5,3.0,4.3,1.8,2.8,1.1,2.5,(D),3.0,2.4,3.0,6.1,5.6,6.3
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.5,0.0,0.8,(L),(D),(D),(D),0.6,1.6,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",22.4,14.4,10.4,2.7,3.1,3.4,2.0,2.0,1.1,1.7,(D),(D),(D),(D),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,(L),(L),0.0,0.1,0.0,0.0,0.0,0.0,0.0,(L),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",188.1,174.0,325.7,362.2,294.3,333.2,381.6,755.3,420.9,508.9,295.4,320.9,292.0,239.7,286.8,368.3,348.8
