GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5317.7,5342.4,5631.8,5759.9,5776.9,5939.3,5886.7,5955.8,5878.0,6063.9,6139.5,6204.0,6288.2,6237.8,6462.3,6309.8,6486.4
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4802.7,4825.7,5114.5,5236.1,5248.9,5393.8,5330.7,5390.3,5299.2,5494.7,5566.3,5632.2,5724.6,5687.4,5930.3,5787.4,5966.5
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),56.5,(D),103.1,91.0,60.4,110.2,91.0,116.1,(D),(D),(D),(D),(D),(D),(D)
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",32.7,45.2,51.1,79.8,96.8,83.8,55.0,105.1,86.3,109.4,71.9,75.3,79.5,136.8,246.6,131.2,(NA)
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),6.4,(D),7.3,8.1,6.0,5.0,4.8,6.7,(D),(D),(D),(D),(D),(D),(NA)
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),25.8,(D),27.2,26.8,22.7,20.3,19.1,20.3,(D),(D),(D),(D),(D),(D),(D)
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),26.0,26.6,22.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.2,0.2,0.3,0.4,(D),(D),(D),0.0,(L),(L),(L),(D),0.1,0.1,(L),0.0,(NA)
 "27900" ,"Joplin, MO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",83.2,89.3,92.9,94.1,80.9,84.3,88.7,81.6,79.3,(D),(D),(D),176.9,(D),(D),(D),(D)
