GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",12257.5,12654.6,13056.1,13630.9,14106.5,14607.2,14238.2,14265.7,13720.1,14143.6,14074.7,14052.1,14304.9,14870.4,15787.1,16650.2,17329.2
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",10518.8,10929.7,11291.6,11845.2,12312.8,12754.1,12358.5,12322.4,11756.2,12201.2,12155.3,12187.5,12488.5,13088.0,14045.0,14892.5,15563.0
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),71.2,94.4,111.2,124.2,130.8
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",106.9,84.9,95.5,92.8,124.5,151.8,58.6,80.4,106.8,86.4,74.9,46.4,41.3,58.7,72.8,87.6,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),34.4,40.2,43.1,42.4,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.9,24.8,29.7,23.9,21.5
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.4,(L),0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.6,21.3,22.6,19.9,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1124.2,1049.3,1025.3,1081.4,1047.2,1018.6,1044.0,914.8,(D),(D),610.3,597.6,558.5,567.1,623.0,655.4,682.4
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",(D),2148.9,2101.8,2266.3,2288.8,2601.5,2566.5,2515.3,2500.7,2706.5,2686.1,2586.4,2618.4,2678.3,3302.8,3776.7,4035.9
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1528.4,1600.9,1519.2,1440.5,1507.7
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",15.4,15.6,16.4,16.4,20.7,26.1,28.5,22.0,(D),(D),19.1,30.6,26.0,26.8,19.5,(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),64.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),62.7,(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),151.5,151.5,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),188.3,178.0,142.4,148.4,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),40.7,59.8,132.1,(D),(D),(D),(D),(D),(D),155.5,165.8,146.1,126.4,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),529.1,555.6,531.8,474.7,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),124.0,(D),182.8,165.8,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),54.3,20.2,24.7,24.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",61.9,50.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1090.9,1081.0,1754.5,2279.8,2465.1
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),278.9,(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),133.8,154.6,128.8,116.7,(D),(D),(D),(D),(D),(D),70.8,(D),(D),76.4,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.2,(D),7.2,5.9,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),196.1,189.5,195.6,199.7,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",(D),(D),(D),(D),(D),49.0,55.4,(D),(D),(D),(D),(D),(D),(D),83.6,80.6,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.6,(D),(D),17.5,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),163.3,(D),(D),(D),(D),(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),302.1,272.9,277.2,291.9,(NA)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",(D),(D),(D),(D),(D),(D),618.8,595.8,500.0,(D),(D),518.4,(D),(D),(D),(D),(D)
 "11700" ,"Asheville, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",967.5,983.2,1057.1,1062.5,1139.9,1177.3,1157.1,1100.3,1031.7,1102.2,1062.7,1091.6,1106.1,1165.4,1243.8,1325.8,1379.4
