GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",39148.8,39963.9,41052.0,43765.7,44943.5,46441.4,46565.9,46454.5,46151.2,47332.6,48682.7,49825.3,49899.7,52423.7,54634.0,55722.7,56228.7
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",34111.3,34727.0,35857.6,38637.3,39843.7,41118.0,41451.9,41314.3,40959.0,41760.6,43155.7,44284.4,44505.4,46899.9,49118.7,50134.9,50689.1
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),628.1,442.7,552.3,638.7,551.3
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",191.2,214.2,260.1,380.3,297.6,287.5,277.5,377.1,636.0,432.1,494.4,315.9,600.7,416.1,523.4,608.3,(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),24.8,27.5,29.4,31.2,(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),102.4,123.3,130.1,86.7,80.7
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),95.8,112.3,121.7,82.9,(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",12.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2058.0,2191.9,2557.1,3682.0,3690.2
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",2362.4,2339.3,2539.6,2677.3,2548.7,2516.6,2261.8,2273.5,2465.6,2482.6,2484.8,2418.1,2340.3,2162.2,2081.8,1979.8,1957.9
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",3128.9,2936.2,3142.2,3247.5,3307.2,3667.3,3563.4,3750.1,3682.3,3955.2,4504.3,4571.9,4530.6,4228.9,4066.0,3856.1,4027.8
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1752.8,1577.5,1385.9,1244.0,1309.8
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.0,14.0,16.7,16.1,(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),118.9,135.8,131.9,128.1,(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),39.9,23.1,16.3,14.5,(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),832.2,705.5,512.3,369.6,(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),130.1,127.9,124.6,146.5,131.6,(D),(D),(D),(D),(D),(D),80.2,95.5,105.4,(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),32.6,36.4,58.6,64.9,(D),(D),(D),(D),(D),63.8,71.3,72.4,(NA)
 "36540" ,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
