GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",68883.0,71924.8,75764.4,85658.5,94342.4,97183.6,98507.3,95436.9,84960.2,82921.5,83296.5,83379.6,84767.5,85858.3,92309.0,93516.7,96061.8
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",61664.5,64503.4,67763.5,77180.4,85621.6,88058.0,89060.8,85697.2,75175.1,72982.2,73584.1,73730.3,75328.4,76369.3,82551.6,83558.4,85760.2
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",14.3,13.5,9.0,6.9,6.9,11.1,6.1,13.9,16.3,16.3,15.4,13.9,11.9,13.9,11.3,8.4,10.2
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",7.9,7.3,5.9,4.7,5.0,7.2,3.8,3.0,5.4,4.4,3.8,1.5,1.9,1.8,2.6,1.8,(NA)
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",4.9,4.8,2.0,1.3,1.0,2.5,1.6,11.1,11.0,11.9,11.8,13.4,10.6,12.9,9.2,6.9,(NA)
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",7.0,8.0,7.9,390.7,68.1,50.3,7.5,33.2,13.7,46.1,63.2,60.9,40.3,39.6,31.3,49.8,81.0
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",1.0,1.8,1.5,1.5,(D),0.9,1.5,2.2,3.4,(D),0.0,(D),(D),(D),(D),(D),(NA)
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",0.0,0.0,0.0,551.3,94.1,61.7,0.0,0.0,0.0,41.5,(D),55.1,36.1,29.6,20.2,41.9,(NA)
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",5.6,5.9,6.0,6.0,(D),6.4,5.9,33.4,10.2,(D),(D),(D),(D),(D),(D),(D),(NA)
 "29820" ,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",1221.6,1449.8,1437.4,1547.4,1591.6,1689.3,1649.4,1560.8,1561.3,1563.5,1524.9,1306.4,1290.6,1188.7,1177.3,1183.1,1129.1
