GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",19813.1,19913.6,20416.6,21852.0,22388.7,22755.3,22391.8,20636.7,19295.2,19370.8,19105.6,18691.1,19589.1,20497.6,20967.9,21828.9,23059.7
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",17599.6,17657.2,18061.9,19367.1,19931.2,20221.2,19853.1,18021.8,16744.1,16837.5,16649.7,16309.5,17210.7,18108.3,18457.8,19261.9,20403.1
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",17.2,14.1,13.2,13.6,13.4,19.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",6.7,7.0,6.1,6.7,7.2,11.6,4.2,5.3,12.3,10.7,9.5,9.0,11.4,13.4,22.8,21.8,(NA)
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",12.1,8.4,8.4,8.1,7.2,9.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),153.3,127.4,199.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.8,1.4,0.6,(D),(D),(D),(D),(D),(D),0.0,2.6,(D),(D),(D),(D),(D),(NA)
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),149.1,125.5,193.5,(D),78.2,31.4,147.9,(D),(D),(D),(D),(D),(D),(NA)
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",23.7,23.0,15.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),401.0,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",(D),(D),(D),2372.8,2553.6,2510.4,2203.5,1511.7,1196.5,1092.8,1135.5,(D),799.8,972.7,1282.0,1625.4,1821.6
 "39900" ,"Reno, NV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",996.7,1046.5,1178.1,1624.6,1657.9,1687.0,2078.2,2108.8,1718.7,1582.0,1637.6,1723.5,1780.2,1778.2,1730.8,1807.2,2047.3
