GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",1170042.0,1169318.4,1174496.4,1207597.2,1255907.2,1291196.4,1309460.4,1270764.7,1276469.8,1321889.7,1325611.5,1364248.9,1367354.5,1391584.1,1419449.7,1425635.1,1444483.6
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",1042550.8,1041205.8,1044998.1,1076068.6,1123871.1,1160050.7,1177024.6,1137522.7,1142448.3,1186542.6,1193536.9,1232944.1,1234987.6,1259968.4,1289885.3,1296312.7,1316464.9
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),476.4,(D),(D),634.2,(D)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",357.1,410.4,368.6,314.0,377.9,469.2,300.3,305.6,461.0,386.8,266.1,253.3,276.6,244.9,320.9,389.1,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),209.4,(D),(D),264.6,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),685.9,(D),(D)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),555.7,(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",(D),(D),47632.1,47377.8,45365.1,43463.1,43804.3,42805.3,39523.9,37697.2,37371.0,38247.2,40613.6,(D),(D),(D),(D)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",(D),(D),(D),74780.0,(D),75568.0,(D),76286.6,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23725.4,(D),(D)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),233.1,(D),216.7,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),856.6,925.0,(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),472.3,536.0,(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",4452.1,4140.4,4310.5,4379.7,4361.9,4408.2,4347.6,3861.3,3226.2,3451.4,3400.4,3327.0,3445.7,3372.5,3212.6,3352.8,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",2668.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2134.9,2012.2,2084.0,1820.0,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8735.7,(D),8693.7,8829.2,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1303.3,(D),(D),1337.7,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1238.0,(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),769.6,733.5,745.4,687.1,784.7,(D),832.7,(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),3956.6,3928.7,4356.6,4508.1,5158.7,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),39445.3,(D),38663.1,38022.7
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7922.4,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),639.7,(D),652.8,(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",(D),(D),(D),(D),3095.3,2990.6,3082.6,2966.5,2493.8,2397.5,2476.8,2407.4,2410.6,2250.1,2270.8,2188.0,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1634.6,(D),1909.7,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21699.1,(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1596.0,1484.7,1721.7,1970.7,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",(D),(D),(D),(D),(D),(D),(D),(D),72753.5,(D),(D),(D),79965.6,82244.4,87149.4,84546.7,86090.7
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",55586.2,58463.8,61742.9,61946.1,63592.8,62999.9,62248.4,60547.3,58455.1,60469.3,62255.4,63280.1,65809.9,67371.3,69168.4,71475.5,74365.6
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),292.7,(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1116.0,(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",4998.9,4889.3,(D),5164.7,(D),(D),4945.8,4689.9,4283.2,4644.7,4964.5,4935.4,5017.0,5031.2,5220.3,5219.3,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",5408.9,5221.0,5917.4,6364.9,6294.5,6763.8,6792.6,6888.3,6403.9,6451.6,6551.2,6550.4,6414.6,6618.9,6749.2,6472.1,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),113.0,(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7011.8,(D),7642.6,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",44,"493","   Warehousing and storage",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2756.8,(D),2713.6,(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",45,"51","  Information",66956.8,74164.9,74702.3,80649.1,85585.7,87769.2,97901.8,103962.6,101765.9,106601.0,108335.9,111759.3,116007.8,116709.9,128145.1,133659.0,133310.7
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",46,"511","   Publishing industries (except Internet)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",47,"512","   Motion picture and sound recording industries",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26776.1,26159.8,(D),26264.9,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),53559.3,(D),62645.5,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",(D),(D),(D),351920.5,383288.1,403662.5,398619.2,351287.5,397678.0,422168.2,421805.7,447229.5,432652.7,441541.9,440367.9,435998.1,440436.5
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",187030.4,172626.5,156045.5,159692.0,183668.7,200557.2,185018.3,143353.2,188554.9,197982.4,192907.8,212240.3,196243.3,202911.3,200782.5,193391.1,194373.5
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),79081.2,72772.1,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),64963.4,60234.8,58844.0,(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",54,"524","    Insurance carriers and related activities",(D),(D),29525.3,(D),35021.7,38495.9,40922.5,38799.5,38315.1,37858.5,40022.9,45629.5,(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",55,"525","    Funds, trusts, and other financial vehicles",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",56,"53","   Real estate and rental and leasing",(D),(D),(D),191570.6,197904.1,200585.1,212487.0,209320.4,209123.1,224236.5,229234.8,234695.8,237217.0,239024.6,240305.6,244603.2,248329.2
 "35620" ,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",57,"531","    Real estate",(D),165158.0,(D),179956.4,186068.4,187712.3,(D),197430.5,199284.6,214469.5,220171.7,224272.1,226928.7,227821.3,229213.9,232153.4,(NA)
