GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",42932.3,44918.9,45526.4,46399.1,46710.4,47550.9,46713.7,46706.3,47418.2,48525.2,49102.8,48901.1,48710.5,49378.5,50136.8,50834.4,50980.0
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",35434.9,37453.8,37937.4,38541.7,38914.3,39785.0,38972.1,38883.1,39514.9,40366.3,41048.0,40869.4,40608.9,41468.9,42313.8,42969.1,43159.6
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",85.4,89.1,83.9,78.1,86.7,95.0,86.4,101.3,106.8,117.5,95.8,79.5,96.6,92.7,98.8,101.2,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",2.7,3.6,3.8,6.2,9.2,8.2,6.3,3.4,5.4,6.0,7.9,(D),(D),(D),(D),(D),(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),5.3,4.5,4.9,7.1,10.6,14.3,18.1,16.4,18.0,12.7,(D),(D),(D),(D),(D),(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",1104.8,1131.4,1011.6,858.3,878.6,912.3,946.7,901.5,813.8,827.3,754.7,724.9,697.4,669.3,672.8,619.6,580.8
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1971.1,2021.5,1959.3,1978.6,1812.4,1697.2,1696.6,1731.5,1658.9,1651.1,1685.6,1683.4,1639.7,1631.8,1711.7,1750.6,1607.4
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",7697.0,8192.6,8019.4,7878.9,8114.3,8686.2,8434.7,7679.6,7222.5,7197.6,6896.7,6842.8,7022.8,7334.7,7033.9,7116.9,7186.6
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",3733.9,4036.6,3935.3,3793.8,4036.8,4129.3,3956.7,3576.3,2739.4,3092.6,3351.8,3577.5,3723.3,3909.7,3720.6,3641.3,3657.6
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",50.0,43.4,45.2,37.2,44.7,48.3,56.4,46.8,32.7,44.5,68.4,66.4,48.2,54.7,54.5,52.1,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",299.6,306.2,278.7,309.1,272.7,223.1,226.6,210.8,192.6,213.3,242.8,237.7,241.1,277.1,254.5,248.4,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",192.5,189.2,204.9,263.0,258.4,221.7,217.4,145.9,85.1,125.2,87.3,240.6,211.3,240.3,280.7,289.4,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",854.0,794.8,834.1,830.4,820.6,820.0,801.5,733.0,546.4,581.4,615.2,668.2,693.0,711.3,695.4,696.9,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",538.2,469.7,382.0,451.1,523.2,574.9,621.5,652.7,523.0,500.7,634.1,643.3,635.9,622.7,588.5,558.8,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",96.0,108.6,138.6,159.7,182.3,178.7,227.2,271.4,262.0,281.0,338.4,343.3,376.3,378.1,398.3,412.3,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",332.7,362.5,341.3,314.4,302.2,361.6,309.4,364.1,337.2,348.2,325.4,335.5,326.3,327.3,243.8,233.7,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),733.2,699.7,663.5,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",53.1,51.3,49.9,47.1,48.4,54.0,58.3,(D),40.2,(D),43.0,(D),(D),(D),(D),(D),(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",302.1,248.9,249.8,272.9,304.7,320.6,335.4,387.3,374.7,425.4,382.9,391.5,383.4,386.4,349.0,324.2,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",3949.0,4124.4,4056.9,4073.3,4041.6,4543.7,4470.8,4098.4,4483.1,4110.8,3574.3,3320.6,3362.4,3493.2,3375.3,3523.7,3575.2
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),860.0,1023.7,1079.6,1029.5,787.9,797.4,856.4,786.6,748.5,797.0,786.7,745.1,762.6,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21.3,21.6,24.8,27.4,28.1,28.4,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",181.5,184.9,163.0,165.5,181.5,201.1,161.2,131.9,164.8,126.3,158.3,138.0,197.7,183.8,200.9,183.6,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",225.6,212.1,226.7,226.4,223.4,196.0,188.2,188.4,180.5,172.2,143.8,115.4,140.4,139.4,150.8,150.2,(NA)
 "15380" ,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",185.7,217.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
