GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",96633.3,99099.1,100220.7,102526.9,105622.3,105375.0,105526.4,104316.2,101954.8,105826.0,108405.1,109422.2,112256.5,112811.6,113920.8,116421.1,119222.7
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",86689.9,89011.2,90018.7,92243.3,95336.7,95163.8,95509.9,94236.8,92090.9,95859.6,98810.1,99844.4,102886.3,103569.7,104761.8,107172.7,109944.4
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),134.0,75.3,58.1,(D),77.6
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",94.7,72.8,66.1,115.8,98.9,100.9,59.9,55.3,105.3,71.8,84.8,62.6,115.8,58.5,41.6,76.4,(NA)
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.6,19.0,18.7,(D),(NA)
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),149.6,205.7,(D),(D),(D)
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),100.1,55.1,27.4,23.1,25.6,21.3,24.6,17.4,(D),(D),(D),30.5,57.1,(D),(D),(NA)
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),111.7,(D),125.8,109.0,(NA)
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.2,(D),(D),4.7,(NA)
 "17140" ,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1830.5,1621.1,1372.2,1399.0,1457.4
