GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",4048.6,4213.4,4320.8,4520.7,4538.9,4560.5,4314.0,4181.3,3610.4,3738.1,3790.7,3803.8,3865.2,3930.5,3871.8,3860.5,3913.8
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3411.8,3562.3,3672.5,3880.4,3893.1,3945.3,3703.2,3579.9,3020.3,3144.1,3214.4,3236.8,3325.1,3401.4,3346.6,3331.8,3379.8
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",17.4,11.8,10.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",16.0,10.5,9.1,14.0,12.1,15.5,11.3,15.8,18.8,35.6,35.0,25.7,41.9,52.0,38.8,27.8,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",1.3,1.2,1.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",4.7,4.5,3.6,(D),5.5,5.3,4.0,4.0,3.7,3.4,2.9,1.9,2.5,5.0,(D),(D),(D)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),0.2,0.5,0.9,0.8,0.4,0.2,0.2,0.2,0.2,0.2,0.9,2.6,0.4,1.0,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",215.2,210.5,200.4,210.5,207.2,179.8,163.0,148.8,146.4,161.9,168.9,185.5,162.8,173.7,174.4,186.3,193.1
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1067.0,1162.7,1241.7,1381.5,1404.5,1475.6,1312.4,1143.6,722.6,787.7,845.1,890.7,934.7,951.1,962.8,963.3,1014.9
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",909.8,(D),1096.1,1225.9,1264.7,1302.3,1151.1,1008.8,583.6,665.1,719.9,772.6,804.8,830.5,818.5,811.6,849.5
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",4.6,4.8,4.1,4.7,5.6,5.8,6.4,4.9,3.8,5.3,5.8,4.9,(D),3.3,4.0,4.7,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",90.2,95.6,96.0,66.2,62.4,54.5,49.7,47.5,39.3,51.0,59.2,57.4,58.7,59.6,57.8,54.0,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",126.4,130.2,99.2,116.2,129.2,109.5,110.6,115.3,76.2,100.2,115.5,119.3,158.0,163.8,208.1,218.2,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",89.7,76.9,88.5,95.0,93.9,106.6,100.5,100.3,65.5,83.5,90.9,103.6,108.1,108.4,99.6,96.7,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",88.2,97.9,107.0,124.2,145.3,151.6,156.3,122.4,92.8,106.3,120.4,110.2,116.5,115.9,104.7,102.8,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",46.9,48.6,65.7,83.8,97.1,93.8,98.8,107.8,76.4,98.1,90.1,(D),(D),(D),(D),(D),(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",101.9,101.6,127.8,115.9,112.8,88.0,54.4,48.8,74.8,71.5,69.1,72.5,63.8,64.2,61.8,53.4,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",411.1,510.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),155.4,171.8,160.2,153.7,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.2,0.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,0.0,0.0,0.0,(NA)
 "31900" ,"Mansfield, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),7.2,6.3,5.6,1.8,1.3,1.3,1.4,3.8,7.7,8.1,8.9,9.1,(NA)
