GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5149.0,5532.5,5742.5,5771.7,6215.1,6764.6,6590.7,6308.2,5770.5,5726.4,5964.1,6190.1,6504.0,6999.5,7580.5,8420.2,8779.8
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4585.5,4947.8,5148.3,5173.4,5631.8,6176.2,5993.7,5682.6,5137.0,5091.9,5317.2,5546.8,5861.2,6339.4,6909.7,7556.6,7910.9
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",25.4,26.9,29.6,25.4,29.2,37.8,32.1,26.2,20.0,16.0,23.3,34.6,33.9,34.7,32.8,(D),33.3
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",25.4,26.9,29.6,23.2,29.2,37.8,32.1,26.2,20.0,16.0,23.3,34.6,33.9,34.7,32.8,(D),(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",10.3,13.2,17.2,23.7,24.0,24.1,28.1,10.7,10.9,9.5,6.2,5.5,6.4,8.7,8.1,(D),8.2
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.6,0.2,0.2,(L),0.0,0.0,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.5,5.2,6.2,(D),(D),(D),(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.1,0.3,(L),0.0,0.0,(D),(D),0.0,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",118.6,121.4,132.0,136.1,137.4,146.7,259.9,149.0,155.6,125.9,102.8,165.5,164.2,142.0,153.7,145.4,155.2
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",533.2,512.1,590.8,626.0,719.0,784.0,729.6,518.2,310.9,213.9,207.2,294.5,360.0,451.4,544.7,599.4,632.5
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",276.4,299.1,311.1,380.7,410.3,509.8,506.5,492.4,441.0,446.2,489.4,463.0,512.6,489.4,543.2,606.9,616.8
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",228.4,247.7,252.8,315.6,(D),(D),403.2,397.7,356.2,370.5,411.8,386.0,409.4,371.6,382.7,449.9,439.9
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",92.2,80.8,80.6,83.9,88.0,87.8,86.7,59.1,48.8,52.7,57.5,56.3,57.0,45.7,46.5,39.3,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",8.9,9.8,9.1,17.7,11.7,12.7,12.6,10.4,6.0,5.8,7.8,6.4,7.2,8.2,10.4,10.7,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",20.0,22.6,26.5,33.2,35.0,37.5,34.0,29.6,23.4,22.5,25.9,31.3,32.1,35.5,40.7,45.4,(NA)
