GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",2406.4,2745.9,3107.6,3695.7,3670.4,4218.3,4449.7,5036.4,5280.8,5536.7,5447.1,4817.1,4367.6,4249.7,4136.3,4261.2,4374.9
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",1690.5,1996.3,2312.9,2869.4,2852.4,3394.3,3657.4,4214.8,4420.0,4781.2,4646.6,3985.8,3541.9,3392.3,3261.6,3416.8,3524.3
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),78.7,84.9,104.3,94.6,100.9,90.5,88.7,90.9,103.5,102.4
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",66.7,74.5,68.1,61.3,56.2,67.0,38.5,31.4,38.0,29.5,26.9,31.0,31.9,34.9,39.4,52.9,(NA)
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),47.9,46.9,75.6,68.4,69.7,56.6,50.3,47.4,46.5,(NA)
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),1.9,1.8,2.4,2.4,2.6,2.5,3.5,3.0,3.4,3.0
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),0.0,0.0,(L),(L),(L),0.1,(L),(L),(L),(L),0.0,0.0,0.0,(NA)
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),2.0,1.7,2.4,2.4,2.6,2.5,3.5,3.0,3.4,(NA)
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "18700" ,"Corvallis, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
