GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",14061.9,14220.4,14885.5,15718.4,16913.8,16430.5,16908.7,17536.0,16579.8,16746.0,16277.8,15736.1,16101.4,15971.3,16158.7,16459.0,16900.4
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",12614.7,12747.8,13362.7,14107.3,15228.7,14706.2,15131.3,15704.4,14683.0,14821.5,14416.2,13934.5,14325.6,14239.3,14428.5,14715.9,15175.5
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",57.2,34.9,116.6,(D),84.1,64.1,61.5,66.0,68.1,54.5,45.9,53.2,52.7,39.5,19.7,8.4,7.2
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",50.1,27.5,109.6,90.2,78.3,57.0,55.5,60.1,63.4,49.0,40.5,47.1,45.4,31.7,12.6,0.0,(NA)
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",7.6,7.8,7.3,(D),6.2,7.6,6.4,6.1,4.8,5.6,5.6,6.3,8.2,9.2,8.3,8.5,(NA)
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",111.2,88.9,99.4,(D),89.0,94.3,121.9,116.0,108.3,112.0,112.1,101.2,131.5,134.1,130.2,111.2,156.8
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.8,1.1,0.4,0.3,(L),0.1,0.0,0.2,0.3,4.0,14.2,20.0,31.1,28.3,17.7,7.5,(NA)
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),87.8,(D),(D),112.9,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),1.5,(D),(D),2.9,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49620" ,"York-Hanover, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",784.0,792.6,987.8,1042.4,897.2,781.1,846.1,773.1,668.8,767.1,755.9,746.3,683.9,668.2,676.6,678.1,671.6
