GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",27169.3,27859.9,28920.8,30028.1,30476.1,31639.6,32294.8,32614.7,32184.3,31632.0,31812.8,31807.5,32534.7,33713.9,35109.8,35572.1,35421.1
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",21015.6,21715.2,22718.7,23800.6,24021.2,25005.3,25691.3,25766.0,25393.8,25050.1,25297.1,25243.3,25937.0,27065.2,28234.6,28673.3,28496.2
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),233.3,204.1,222.9,253.6,231.4
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",106.9,93.0,126.3,147.6,129.2,146.6,82.5,79.3,131.4,148.6,68.5,99.5,146.0,117.4,131.1,163.4,(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),82.1,85.9,90.5,89.7,(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),73.6,82.5,133.6,140.5,145.9
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(D),(D),(L),(D),(D),(D),(D),(D),(L),(L),0.1,0.1,(D),(D),(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),71.1,78.4,122.8,139.8,(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.1,(L),(L),(L),0.1,0.1,(D),(D),(D),(D),(D),(D),2.6,4.3,(D),(D),(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1450.1,(D),(D),(D),1609.9
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1796.6,1682.3,1783.9,1798.9,1711.2,1748.2,1737.7,1629.3,1458.5,1326.1,1299.8,1270.9,1340.5,1302.1,1330.7,1423.9,1542.0
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",3078.2,3353.8,3370.2,3294.9,3204.4,3344.8,3630.5,3479.7,3386.0,3642.2,3622.3,3653.5,3551.8,4077.9,4618.4,4532.4,4227.4
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1690.0,2002.9,2258.8,2360.7,1961.3
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),50.2,46.0,42.6,47.8,(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),66.5,(D),(D),(D),43.0,51.8,(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),87.0,112.6,(NA)
 "17900" ,"Columbia, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),389.9,(D),(D),(D),(D),450.0,664.9,(D),(D),(NA)
