GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",10290.2,10665.9,11145.8,11212.1,11431.2,11973.3,12123.1,12001.9,10726.1,11586.5,11801.5,11644.5,11859.7,12329.9,12706.2,13323.4,13793.6
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",8888.7,9240.9,9712.9,9772.7,9963.3,10504.8,10626.7,10472.4,9188.1,10079.0,10246.3,10113.1,10323.6,10791.0,11089.2,11644.5,12098.7
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",8.0,10.0,16.6,1.8,15.0,22.4,24.2,25.1,38.4,43.3,21.0,15.6,17.7,22.8,26.7,23.2,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0.1,0.1,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,(D),(D),(D),(L),(L),0.1,0.1,0.2,(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",78.3,85.6,76.1,78.0,84.1,90.7,82.0,83.5,75.6,87.4,81.2,69.3,70.7,71.1,67.5,72.8,71.6
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",665.8,622.3,631.4,596.8,596.4,626.7,649.8,628.8,554.1,524.6,471.5,602.3,606.6,585.0,598.0,650.0,724.3
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",3429.8,3592.4,3898.6,3589.3,3629.6,3824.8,3653.9,3389.9,2816.5,3599.2,3968.1,3920.6,3827.6,3982.6,4026.7,4158.6,4237.3
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",1737.3,2056.8,2304.5,2060.4,2193.8,2389.5,2109.4,2025.7,1499.8,2214.0,2566.9,2654.9,2557.2,2731.3,2581.8,2879.2,2928.3
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",34.4,34.0,39.0,25.0,38.2,27.4,17.6,17.9,13.7,17.9,13.9,(D),(D),(D),21.5,28.3,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",275.4,271.5,325.4,366.5,357.6,343.5,355.4,354.3,(D),315.7,(D),(D),(D),(D),277.4,233.5,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),170.8,196.4,163.2,160.1,132.4,143.5,144.0,135.2,125.2,(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),11.9,12.9,17.4,15.2,19.2,30.4,56.5,68.1,98.8,81.8,85.4,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",211.9,158.1,170.5,166.8,213.3,298.7,262.7,290.0,289.4,306.7,312.3,312.5,196.3,210.5,191.3,218.2,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2003.6,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),43.6,41.8,40.7,50.5,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",7.4,8.4,6.4,7.1,17.5,26.9,24.0,16.2,18.4,19.0,26.4,32.9,8.3,9.2,(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),90.5,75.3,84.0,85.6,58.9,54.7,48.3,42.9,38.6,35.1,35.9,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",1758.7,1558.1,1604.5,1550.9,1439.4,1432.4,1547.0,1366.4,1316.7,1390.6,1417.5,1296.1,1296.1,1285.4,1464.6,1314.0,1343.9
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),81.7,83.3,(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",582.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),240.9,253.8,235.3,(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),0.0,(L),0.0,0.0,0.0,(L),3.8,4.4,9.0,12.7,16.2,12.1,6.6,(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",208.0,179.2,199.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",60.4,66.5,70.6,59.5,60.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),234.2,231.1,178.3,219.2,(D),283.9,317.6,(D),(D),(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),595.6,613.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",893.0,904.5,847.5,1029.3,1057.7,1202.2,1235.5,1346.4,1087.0,1073.2,938.8,978.5,1031.2,1086.3,1096.7,1098.1,1126.6
 "43900" ,"Spartanburg, SC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",777.3,785.3,820.1,777.1,785.2,809.3,765.9,720.1,693.1,722.1,736.2,743.5,797.3,854.2,866.4,901.0,915.5
