GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",10082.3,9849.9,9764.4,10279.3,9884.0,10489.6,10579.4,10773.9,10551.8,10778.7,11253.8,11400.4,11075.9,10402.1,10213.0,10024.2,10101.4
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",9071.0,8802.7,8728.6,9238.9,8792.1,9407.8,9537.3,9698.5,9457.2,9727.8,10196.4,10318.7,10012.9,9362.0,9174.4,8972.8,9038.8
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.5,24.9,(D),62.0,36.0
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",29.8,29.0,6.4,15.6,16.5,0.0,25.8,0.0,0.0,0.0,1.4,0.0,0.1,11.4,7.3,45.4,(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.6,9.9,(D),10.0,(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),90.9,(D),(D)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",2.7,4.2,3.1,(D),(D),35.6,44.9,82.1,(D),66.8,37.8,39.6,56.1,(D),(D),43.5,(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),273.3,70.4,16.1,20.7,(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),106.0,101.0,107.2,121.3,(D)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",(D),(D),503.2,474.7,460.7,450.7,458.5,(D),(D),448.3,(D),(D),(D),(D),(D),(D),(D)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",3307.0,3001.4,2938.1,3713.1,3206.1,3436.4,3539.4,3359.3,3230.6,3376.5,3762.3,3883.3,3941.9,3501.8,3473.8,3240.2,3255.6
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),908.2,866.7,859.8,798.2,835.5
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),10.5,13.0,13.8,(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),86.4,96.0,101.3,97.4,(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),81.1,65.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),80.7,(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),150.2,141.8,117.5,120.7,125.3,122.8,(D),119.2,111.2,103.2,(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),165.5,148.7,150.2,119.4,(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),35.9,32.8,(D),(NA)
 "28700" ,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25.0,26.7,26.5,27.5,(NA)
