GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",4169.9,4273.3,4392.6,4606.6,4714.8,4778.7,4825.4,4876.5,4882.0,4994.6,4983.5,4856.1,4513.8,4483.2,4588.4,4634.2,4641.2
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3357.5,3446.0,3552.8,3725.7,3749.9,3827.0,3832.2,3821.9,3813.1,3922.2,3915.9,3815.6,3608.1,3617.6,3675.0,3724.1,3737.7
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",54.6,56.5,57.8,73.3,50.2,43.2,47.3,22.6,21.3,20.7,18.8,28.7,35.4,53.0,66.6,42.0,(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13.9,(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.8,3.5,2.2,(D),(NA)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),74.9,(D),(D),(D),(D),(D)
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",222.7,218.9,210.6,213.7,205.9,194.7,182.6,235.6,282.3,229.8,218.2,216.8,184.7,165.7,174.1,171.9,180.6
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",747.9,799.2,836.3,961.5,923.9,907.0,926.7,824.1,767.1,827.7,805.5,762.4,737.1,744.5,750.4,800.9,770.2
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),155.9,154.7,150.7,163.9,161.3
 "45500" ,"Texarkana, TX-AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
