GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",2563.7,2670.7,2920.7,3046.5,3076.7,3187.4,3352.5,3506.2,3565.6,3874.8,4049.1,3986.4,3903.1,4042.2,4278.1,4376.6,4411.3
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",1907.3,2023.6,2247.9,2367.1,2384.3,2485.5,2663.4,2794.0,2872.9,3174.7,3333.9,3286.0,3221.0,3361.2,3599.7,3676.7,3699.8
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),67.9,(D),(D),(D),(D),(D),(D),(D),(D)
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",101.3,62.1,60.9,82.3,62.7,45.9,61.3,73.0,60.5,89.0,82.1,70.6,79.8,95.9,104.3,89.4,(NA)
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),7.4,(D),(D),(D),(D),(D),(D),(D),(NA)
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),4.2,5.6,(D),(D),(D),(D),(D),(D),(D)
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),0.0,0.0,0.9,0.0,0.2,(L),0.8,(L),0.1,0.8,1.3,2.2,1.4,(NA)
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.1,6.5,8.7,(D),(NA)
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(L),0.2,0.5,1.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "30860" ,"Logan, UT-ID (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),39.0,42.2,(D),38.5,(D),40.0,36.8,35.7,34.4,34.7,37.5,38.0
