GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",4058.9,3862.4,3911.0,4106.6,4229.9,4192.7,4305.2,4498.3,4727.9,4870.6,4537.7,4192.4,4262.5,4295.9,4379.8,4382.2,4448.5
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3522.6,3328.3,3389.8,3586.9,3677.7,3657.4,3769.3,3957.3,4185.8,4342.3,4015.4,3663.1,3735.0,3772.9,3852.0,3835.6,3893.4
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",63.4,44.7,22.6,52.4,(D),43.2,38.8,26.9,34.5,53.2,77.1,44.3,62.9,89.3,(D),(D),(D)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",59.8,41.0,18.9,48.3,67.6,39.0,36.1,24.7,31.6,49.9,73.1,40.5,59.6,85.1,88.0,68.2,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",4.5,4.5,4.2,4.3,(D),4.2,2.3,2.1,3.0,3.2,3.7,4.2,3.2,3.6,(D),(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.7,(D),(D),(D),(D),(D)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.3,0.3,0.6,1.2,0.6,0.8,0.2,(L),0.0,0.0,(L),(L),0.1,0.1,(L),(L),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.7,(D),(D),(D),(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.2,0.1,0.2,0.3,0.1,0.1,(L),0.0,0.0,0.0,(D),(L),(L),(L),(L),(L),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),76.8,71.2,67.9,70.8,(D)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",255.6,241.6,245.3,256.0,261.0,252.5,(D),(D),190.4,(D),(D),186.4,(D),(D),(D),(D),(D)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",(D),(D),(D),(D),(D),(D),1286.5,1240.3,(D),1541.3,1502.2,1385.7,1434.3,1372.4,1372.6,1377.2,1431.3
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),383.8,363.7,(D),380.0,366.8,318.5,351.9,350.3,349.1,353.4,373.6
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),10.6,(D),(D),(D),(D),(D),6.3,(D),(D),(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),16.2,14.3,10.7,11.5,17.4,19.0,21.4,20.0,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",93.3,149.8,176.4,199.3,183.3,204.1,191.3,157.0,128.1,135.4,133.4,129.0,134.4,132.6,126.7,(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),58.7,64.9,(D),(D),(D),(D),(D),(D),(D),82.7,84.2,85.6,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21.7,27.2,23.6,26.7,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),0.1,0.1,0.0,0.1,(L),0.0,0.8,0.6,0.1,(D),(D),(D),0.0,0.0,(D),(NA)
