GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",8752.8,9010.4,9682.5,10031.5,10279.1,10528.1,10396.4,10492.7,10599.0,11128.7,11509.4,11724.2,11638.6,11751.9,11894.1,12213.7,12367.6
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",7417.4,7636.9,8227.4,8537.9,8750.7,8966.0,8850.1,8895.5,8996.6,9530.4,9829.8,10047.2,9915.8,9983.9,10098.5,10442.7,10597.5
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),86.8,(D),(D),(D),(D)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",85.0,70.3,71.9,80.2,98.5,82.0,83.1,71.3,61.6,78.7,80.1,59.7,73.7,93.2,76.9,74.3,(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13.9,(D),(D),(D),(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.7,(D),(D),(D),(D),(D)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.7,(D),(D),(D),(D),(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(L),(L),(L),0.0,0.1,(L),(L),(L),(L),(L),(L),(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",539.3,503.0,537.6,567.1,508.7,437.7,393.3,(D),(D),(D),(D),374.5,365.4,347.9,336.8,338.8,332.7
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1218.1,1226.5,(D),(D),(D),(D),1395.2,1543.1,(D),(D),(D),1632.4,1392.4,1313.1,1271.7,1204.3,1242.7
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1035.8,(D),865.5,797.9,833.7
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),6.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),5.6,5.1,5.2,5.2,5.7,(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",30.3,34.0,30.6,41.6,38.5,35.6,32.5,31.1,23.5,26.9,(D),29.2,(D),(D),(D),(D),(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),22.6,16.1,11.6,9.9,(D),(D),12.1,14.0,(D),(D),(D),(D),(D),(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),124.0,101.3,54.2,(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",105.5,64.2,67.6,(D),(D),(D),(D),76.0,69.6,84.9,95.5,95.7,96.8,(D),95.8,95.8,(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),578.7,628.5,646.0,455.9,586.4,580.9,830.6,920.8,914.3,645.1,(D),(D),(D),(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),61.3,53.0,40.2,(D),(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.6,(D),3.4,3.6,(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.8,(D),(D),(D),(D),(NA)
 "15540" ,"Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
