GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",9137.1,9243.4,9612.6,9940.1,10072.9,10086.4,10284.8,9936.8,9795.4,9919.0,10143.4,10249.9,10083.2,10415.1,10918.8,11282.9,11412.4
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",8344.7,8426.8,8758.8,9071.9,9175.9,9187.0,9363.3,8977.4,8819.3,8935.0,9169.0,9259.0,9150.1,9479.3,10005.4,10370.2,10495.2
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),215.4,(D),191.8
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",102.5,102.9,123.7,108.7,131.2,122.2,128.5,120.3,66.8,106.9,126.8,119.0,120.3,166.9,196.7,193.5,(NA)
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.9,(D),(NA)
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),98.4,(D),64.7
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,(L),0.1,0.1,0.1,(L),(L),(NA)
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(NA)
 "11540" ,"Appleton, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),81.5
